,0,1,2,3
33,alcohol,GLBH 245,Native American Health and Healing,"This course examines fact and fiction with respect to epidemics of contagious diseases including smallpox and tuberculosis, alcohol and drug dependency, diabetes and obesity, and depression and suicide. We analyze health care with respect to the history and development of the Indian Health Service, health care efforts by Christian missionaries, tribal-led health initiatives, indigenous spiritual healing, and collaborations between indigenous healers and biomedical professionals."
34,alcohol,ANTH 237,Native American Health and Healing,"This course examines fact and fiction with respect to epidemics of contagious diseases including smallpox and tuberculosis, alcohol and drug dependency, diabetes and obesity, depression and suicide. We analyze health care with respect to the history and development of the Indian Health Service, health care efforts by Christian missionaries, tribal-led health initiatives, indigenous spiritual healing and collaborations between indigenous healers and biomedical professionals. Students may not receive credit for ANTH 237 and GLBH 245. ANTH 237/GLBH 245 may be coscheduled with ANSC 139/GLBH 139."
35,algebra,CSE 203B,Convex Optimization Formulations and Algorithms,"We study the formulations and algorithms solving convex optimization problems. The topics include convex sets, functions, optimality conditions, duality concepts, gradient descent, conjugate gradient, interior-point methods, and applications. The objective of the course is to provide students the background and techniques for scientific computing and system optimization. Students cannot receive credit for CSE 203B if they have taken either ECE 273 or MATH 245B."
36,algebra,MATH 18,Linear Algebra,"Matrix algebra, Gaussian elimination, determinants. Linear and affine subspaces, bases of Euclidean spaces. Eigenvalues and eigenvectors, quadratic forms, orthogonal matrices, diagonalization of symmetric matrices. Applications. Computing symbolic and graphical solutions using MATLAB. Students may not receive credit for both MATH 18 and 31AH."
37,algebra,MATH 201A,Basic Topics in Algebra I,"Recommended for all students specializing in algebra. Basic topics include categorical algebra, commutative algebra, group representations, homological algebra, nonassociative algebra, ring theory. May be taken for credit six times with consent of adviser as topics vary."
38,algebra,MATH 31AH,Honors Linear Algebra,"First quarter of three-quarter honors integrated linear algebra/multivariable calculus sequence for well-prepared students. Topics include real/complex number systems, vector spaces, linear transformations, bases and dimension, change of basis, eigenvalues, eigenvectors, diagonalization. (Credit not offered for both MATH 31AH and 20F.)"
39,algebra,MATH 202A,Applied Algebra I,"Introduction to algebra from a computational perspective. Groups, rings, linear algebra, rational and Jordan forms, unitary and Hermitian matrices, matrix decompositions, perturbation of eigenvalues, group representations, symmetric functions, fast Fourier transform, commutative algebra, Grobner basis, finite fields."
40,analytics,CSE 135,Online Database Analytics Applications,"Database, data warehouse, and data cube design; SQL programming and querying with emphasis on analytics; online analytics applications, visualizations, and data exploration; performance tuning."
41,analytics,MGTA 452,Collecting and Analyzing Large Data,"This course aims to provide students with an introduction to data analytics in R where the emphasis is more on business “data” than “analytics.” The emphasis is on collecting, handling, manipulating, and summarizing large data sets. Case studies are used throughout the course."
42,analytics,MGTA 403,Math and Programming for Business Analytics,"Success in business analytics (data science for business) requires a solid foundation in mathematics, statistics, and programming. This course is designed to enhance students’ ability to solve problems relevant for their future profession. We will build up skills and instill confidence so students can tackle any new data or analytics problems they might face. We teach students to use math and programming to create analytics solutions to important business problems and enjoy the process."
43,analytics,MGTA 466,Scalable Analytics,"This course is designed to provide students with skills and knowledge to perform analytics at scale. Topics include steps in the analytics process used to gather, prepare, process, and evaluate data; basic principles of computer systems and parallelism; scalable computing; and cloud-based analytics. Hands-on experience with widely used scalable and cloud platforms will be provided. Through programming assignments, students will apply what they learn in the course to leverage big data."
44,analytics,MGTA 461,Web Mining and Recommender Systems,"A graduate course devoted to current methods for recommender systems, data mining, and predictive analytics."
45,anbi,ANBI 149,Social and Behavioral Epigenetics,This course is a seminar where we will discuss the latest scientific research in epigenetic mechanisms (changes to gene expression without changing underlying DNA sequences) and their role in regulating health and behavior of humans and other mammals in response to environmental stimuli. Our focus will be on publications related to social and behavioral epigenetics phenomena. Recommended preparation: students should have research experience in a molecular lab.
46,anbi,ANBI 112,Methods in Human Comparative Neuroscience,"Structural, molecular, cellular, and hybrid methods are used to examine the conserved and derived features of the human brain. Students will study the literature on these methods, observe their application in the design and execution of laboratory experiments, and discuss the challenges involved in their application, including limitations and strengths."
47,anbi,ANTH 264,Human Evolutionary Genetics,"This course explores how genetic data can be used to address core issues in human evolution. We will reconstruct population history and explore sources of human genetic diversity, such as migration and selection, based on studies of modern and ancient DNA. Through critical evaluation of recent publications, we will discuss the molecular evidence for the origin of modern humans, race, reconstruction of key human migrations, interactions with the environment, and implications for disease. May be coscheduled with ANBI 134."
48,anbi,ANBI 100,Special Topics in Biological Anthropology,"Course usually taught by visiting faculty in biological anthropology. Course will vary in title and content. When offered, the current description and title is found in the current Schedule of Classes and the Department of Anthropology website. May be taken for credit four times as topics vary."
49,anbi,ANBI 109,Brain Mind Workshop,"A weekly forum for presentation and discussion of work in anthropology and cognitive neuroscience by faculty, students, and guest speakers. P/NP only. Please note: Majors may only apply eight units of approved P/NP credit toward the major, and minors may only apply four units of P/NP credit toward the minor."
50,animal,ANSC 181,Animal Affairs,"We humans are animals. How do our relations with other animals—how we rely on them, how we struggle against them, how we live among them—shape our own worlds? In this course, we examine, through ethnography and speculative fiction, the boundary between human and other animals."
51,animal,COGS 142,Animal Communication,"This course introduces the study of animal communication, the key terminology, the remarkable communicative systems that several animal species possess, and the key similarities and differences between human and non-human animals’ communications."
52,animal,COGS 143,Animal Cognition,"Examines the contrasts and parallels between primates and cetaceans in sensorimotor constraints, neuroanatomy, field behavior, and cognition in the lab, with a focus on the demands of competition and cooperation that helped shape the evolution of social cognition. Students may not receive credit for COGS 143 and COGS 143GS."
53,animal,PSYC 4,General Psychology: Behavioral Foundations,"This course provides an introduction to behavioral psychology. Topics include classical conditioning, operant conditioning, animal learning, and motivation and behavior modification."
54,animal,BGGN 226,Graduate Animal Virology,"This course consists of a review of fundamental concepts together with an in-depth analysis of the structure, genetics, multiplication and oncogenicity of animal viruses. Particular emphasis will be given to the DNA and RNA tumor viruses. The format of this section includes lectures and discussion of selected papers."
55,aquarium,SIO 197BA,Birch Aquarium Internship,This internship will examine basic science learning theory and interpretive techniques best suited for learners in an aquarium or informal learning setting. Students will demonstrate learned skills by facilitating floor-based interactions and conducting visitor surveys that influence aquarium exhibit design and guest experiences. Interested students should contact the Scripps undergraduate office for application instructions. P/NP grades only.
56,aquarium,SIO 180,Communicating Science to Informal Audiences,"Students develop fundamental science communication and instructional skills through the understanding and application of learning theory, interpretive techniques, and pedagogical practices, which occur in the context of communicating ocean science concepts to a diverse audience at Birch Aquarium at Scripps."
57,aquarium,NO RESULTS,NO RESULTS,NO RESULTS
58,aquarium,NO RESULTS,NO RESULTS,NO RESULTS
59,aquarium,NO RESULTS,NO RESULTS,NO RESULTS
60,archeology,VIS 126BN,The Art and Civilization of the Ancient Maya,This course offers a history of Maya society from its formative stages to the eve of the Spanish Conquest through an investigation of its art and archeology. Special attention is given to its unique calendar and writing systems. Recommended preparation: VIS 21.
61,archeology,NO RESULTS,NO RESULTS,NO RESULTS
62,archeology,NO RESULTS,NO RESULTS,NO RESULTS
63,archeology,NO RESULTS,NO RESULTS,NO RESULTS
64,archeology,NO RESULTS,NO RESULTS,NO RESULTS
65,art,VIS 23,Seminar in Art History Methods,"This course, a lower-division seminar for art history majors, covers the research tools and fundamental skills needed for advanced work in the field. Topics include descriptive and analytical writing; revision and peer review; compiling annotated bibliographies with traditional and online resources, indexes, and databases; evaluating source materials (including those found online); defining research programs; and preparing and delivering art history presentations."
66,art,VIS 2,Introduction to Art Making: Motion and Time-Based Art,"An introduction to art making utilizing the transaction between people, objects, situations, and media. Includes both critical reflection on relevant aspects of modern and contemporary art practices (Marina Abramovic, Allen Kaprow, Adrian Piper, James Luna, Stelarc, Ron Athey, conceptual art, performance art, new media art, etc.) and practical experience in a variety of artistic exercises. This course is offered only one time each year."
67,art,VIS 20,Introduction to Art in Europe and America,"This course examines the history of Western art and architecture through such defining issues as the respective roles of tradition and innovation in the production and appreciation of art; the relation of art to its broader intellectual and historical contexts; and the changing concepts of the monument, the artist, meaning, style, and “art” itself. Representative examples will be selected from different periods, ranging from antiquity to modern. Content will vary with the instructor."
68,art,VIS 11,Introduction to Visual Culture,"This course examines the significant topics in art practice, theory, and history that are shaping contemporary art thinking. A wide range of media extending across studio art practice, digital media, performative practices, and public culture will be considered as interrelated components. This course is offered only one time each year during winter quarter."
69,art,CAT 3,"Culture, Art, and Technology 3","Lower-division writing- and research-intensive course focusing on collaboration, research, and art-making by speculating on how the relationships between culture, art, and technology will be transformed in the future."
70,artificial intelligence,COGS 188,Artificial Intelligence Algorithms,This class will cover a broad spectrum of machine learning algorithms. It builds on students’ previous exposure to machine learning. It covers new artificial intelligence algorithms ranging from topic models as used in the text data analysis to genetic algorithms. Students will not receive credit for both COGS 188 and CSE 151A.
71,artificial intelligence,PSYC 230,Computational Approaches to Visual Abstraction,"This course explores the problem of how humans produce and comprehend graphical representations, combining approaches from computational neuroscience, cognitive science, and artificial intelligence."
72,artificial intelligence,CSE 259,Seminar in Artificial Intelligence,"A weekly meeting featuring local (and occasional external) speakers discussing their current research in artificial intelligence neural networks, and genetic algorithms. (S/U grades only.)"
73,artificial intelligence,PHIL 150,Philosophy of the Cognitive Sciences,"Theoretical, empirical, methodological, and philosophical issues at work in the cognitive sciences (e.g., psychology, linguistics, neuroscience, artificial intelligence, and computer science), concerning things such as mental representation, consciousness, rationality, explanation, and nativism."
74,artificial intelligence,CGS 108,"Gender, Race, and Artificial Intelligence","(Cross-listed with LTCS 108.) This course explores the idea of artificial intelligence in both art and science, its relation to the quest to identify what makes us human, and the role gender and race have played in both. Students may not receive credit for CGS 108 and LTCS 108."
75,asia,HILD 11,"East Asia and the West, 1279–1911","The East Asia survey compares and contrasts the development of China, Korea, and Japan from ancient times to the present. From the Mongol conquests through China’s and Korea’s last dynasties, and the rise of Meiji Japan, this course examines political, institutional, and cultural ruptures and continuities as East Asia responded to the challenges of Western imperialism with defense, reform, conservative reaction, and creative imitation."
76,asia,HILD 12,Twentieth-Century East Asia,"The East Asia survey compares and contrasts the development of China, Korea, and Japan from ancient times to the present. This course examines the emergence of a regionally dominant Japan before and after World War II; the process of revolution and state-building in China during the nationalist and communist eras; and Korea’s encounter with colonialism, nationalism, war, revolution, and industrialization."
77,asia,COMM 104D,CMS: Asia,"The development of media systems in Asia, focusing on India and China. Debates over nationalism, regionalism, globalization, new technologies, identity politics, censorship, privatization, and media piracy. Alignments and differences with North American and European media systems will also be considered."
78,asia,HILD 10,East Asia: The Great Tradition,"The East Asia survey compares and contrasts the development of China, Korea, and Japan from ancient times to the present. This course explores the evolution of civilization from the first writing through classical Hei’an Japan, aristocratic Koryo, and late imperial Song China. Primary and secondary readings on basic ideas, institutions, and practices of the Confucian, Daoist, and Buddhist paths and of the state and family."
79,asia,ANSC 191GS,Everyday Life in South Asia: Beyond the Clichés,"Popular representations of South Asia abound in clichés: poverty and luxury, cities and hamlets, ascetics and call centers. What do these clichés do to our understanding of South Asia? How do we get beneath or beyond these representations? We will respond to these questions by exploring how people in South Asia live on a day-to-day basis, while also attending to how major historical events, such as colonialism and the Partition of India and Pakistan, shape contemporary life and politics. Program or materials fees may apply."
80,astronomy,PHYA 299,Thesis Research in Astronomy,Directed research on dissertation topic in astronomy. May be taken for credit up to twenty-four times. (S/U grade only.)
81,astronomy,ECE 90,Undergraduate Seminar,"This seminar class will provide a broad review of current research topics in both electrical engineering and computer engineering. Typical subject areas are signal processing, VLSI design, electronic materials and devices, radio astronomy, communications, and optical computing."
82,astronomy,PHYA 200,Survey of Astronomy,"Introduction to astronomical concepts and phenomenology at the graduate level. Astrophysical measurement, major structures in the universe, properties of stars and galaxies, star formation and stellar processes, HR diagram, the Milky Way, galaxy formation and evolution, stellar and galactic clusters, cosmological distance scales, dark matter and energy, and cosmology. Includes order of magnitude problem-solving covering all fields of astrophysics."
83,astronomy,PHYA 298,Directed Study in Astronomy,Research studies under the direction of a faculty member. May be taken for credit up to twenty-four times. (S/U grade only.)
84,astronomy,PHYA 296,Year Two Research in Astronomy,"Research studies under the direction of a faculty member in preparation for astronomy PhD program qualification. Two quarters of PHYA 296 are required for degree requirements, and must focus on a research project designed in conjunction with a faculty adviser on any suitable research topic. May be taken for credit up to three times. (S/U grade only.)"
85,audio,COMM 102B,MMPP: Audio Story and Podcasting Practicum,"Production-oriented course involving diverse audio media forms. Critically analyze journalistic podcasts, features, documentaries, diaries, place-casts, and news shorts to evaluate what makes for compelling and effective audio as a contemporary storytelling form. Students will gain technical and production skills to facilitate their own creativity in the audio sphere."
86,audio,COMM 120I,AMP: Social Issues in Media Production,"Analyze forms of social issue media production, photography, audio/radio, arts, crafts, web, print zines, political documentary. Students work with several forms of media making: video, audio, web design, and a project in their chosen format."
87,audio,COMM 20,Analysis of Media Forms and Cultures,"This course builds the critical skills to understand, analyze, and interpret audio/visual media by introducing students to the basic vocabulary and grammar of audio and moving image texts—how they create meaning through compositional form and narrative style—and key critical methodologies for interpreting media culture. Concepts and approaches covered will lay the groundwork for continued study in both scholarly communication areas and hands-on sound, film/video, and/or social media production."
88,audio,MUS 270A,Digital Audio Processing,"Digital techniques for analysis, synthesis, and processing of musical sounds. Sampling theory. Software synthesis techniques. Digital filter design. The short-time Fourier transform. Numerical accuracy considerations."
89,audio,MUS 271B,Survey of Electronic Music Techniques II,"A continuation of 271A, with emphasis on live interactive techniques (e.g., audio processing; analysis/resynthesis; score following)."
90,autonomous vehicles,ECE 148,Introduction to Autonomous Vehicles,"This course introduces students to the fundamentals of autonomous vehicles using an accelerated and engaging engineering curriculum leveraging the educational benefits of robotics “coopertition” (cooperative competition). Students work in small teams building scale cars utilizing best engineering practices. Skills to be learned include fast prototyping, project management, traditional programming, and computer vision using Robot Operating System (ROS) and artificial intelligence deep learning. Cross-listed with MAE 148. Students may not receive credit for ECE 148 and MAE 148. Program or materials fees may apply."
91,autonomous vehicles,MAE 148,Introduction to Autonomous Vehicles,"Fundamentals of autonomous vehicles. Working in small teams, students will develop 1/8-scale autonomous cars that must perform on a simulated city track. Topics include robotics system integration, computer vision, algorithms for navigation, on-vehicle vs. off-vehicle computation, computer learning systems such as neural networks, locomotion systems, vehicle steering, dead reckoning, odometry, sensor fusion, GPS autopilot limitations, wiring, and power distribution and management."
92,autonomous vehicles,MAE 247,Cooperative Control of Multi-agent Systems,"Tools for the design of cooperative control strategies for multi-agent systems are presented. Topics include continuous and discrete-time evolution models, proximity graphs, performance measures, invariance principles, and coordination algorithms for rendezvous, deployment, flocking, formation of autonomous vehicles and consensus."
93,autonomous vehicles,ECE 194,Viacar Design Project,"Students design, build, and race an autonomous car using principles in electrical engineering and computer science: circuit design, control theory, digital signal processing, embedded systems, microcontrollers, electromagnetism, and programming."
94,autonomous vehicles,CSE 257,Search and Optimization,"The course will cover core algorithms for sequential decision-making problems in autonomous systems. Topics include heuristic search, Monte Carlo search, deep reinforcement learning, nonlinear optimization, mixed-integer optimization, and stochastic optimization."
95,baseball,POLI 137,A Sports Analytics Approach to the Social Sciences,"Sports analytics is a fast-growing field. It uses data and statistical methods to measure performance in competitive sports. The approach’s popularity has generated a wealth of data that can be used to shed light on social science questions in interesting ways. We will focus on topics such as violent behavior, discrimination, cultural/ethnic diversity, corruption, and cognitive biases using examples from baseball, basketball, figure skating, football, hockey, soccer, and sumo wrestling."
96,baseball,NO RESULTS,NO RESULTS,NO RESULTS
97,baseball,NO RESULTS,NO RESULTS,NO RESULTS
98,baseball,NO RESULTS,NO RESULTS,NO RESULTS
99,baseball,NO RESULTS,NO RESULTS,NO RESULTS
100,bayes theorem,NANO 114,Probability and Statistical Methods for Engineers,"Probability theory, conditional probability, Bayes theorem, discrete random variables, continuous random variables, expectation and variance, central limit theorem, graphical and numerical presentation of data, least squares estimation and regression, confidence intervals, testing hypotheses. Cross-listed with CENG 114. Students may not receive credit for both NANO 114 and CENG 114."
101,bayes theorem,CENG 114,Probability and Statistical Methods for Engineers,"Probability theory, conditional probability, Bayes theorem, discrete random variables, continuous random variables, expectation and variance, central limit theorem, graphical and numerical presentation of data, least squares estimation and regression, confidence intervals, testing hypotheses. Cross-listed with NANO 114. Students may not receive credit for both CENG 114 and NANO 114."
102,bayes theorem,MAE 108,Probability and Statistical Methods for Mechanical Engineering,"Probability theory, conditional probability, Bayes theorem, random variables, densities, expected values, characteristic functions, central limit theorem. Engineering reliability, elements of estimation, random sampling, sampling distributions, hypothesis testing, confidence intervals. Curve fitting and data analysis. Students cannot receive credit for MAE 108 and ECE 109, ECON 120A, MATH 180A, MATH 183, MATH 186, or SE 125."
103,bayes theorem,MATH 11,Calculus-Based Introductory Probability and Statistics,"Events and probabilities, conditional probability, Bayes’ formula. Discrete and continuous random variables: mean, variance; binomial, Poisson distributions, normal, uniform, exponential distributions, central limit theorem. Sample statistics, confidence intervals, hypothesis testing, regression. Applications. Introduction to software for probabilistic and statistical analysis. Emphasis on connections between probability and statistics, numerical results of real data, and techniques of data analysis."
104,bayes theorem,MAE 279,Uncertainty Quantification,"This course is an introduction to uncertainty quantification and will cover basic and advanced computational methods to quantify uncertainties in parameters, systems, and simulation. Covers basics in statistical and stochastic modeling, Monte Carlo sampling techniques including variance reduction and importance sampling, sensitivity analysis, Bayes’ theorem and related Bayesian inference methods (variants of Markov chain Monte Carlo)."
105,beng,BENG 227,Transport Phenomena in Living Systems,"This course describes the movement of heat and chemical mass in biological systems. Diffusion, convection and biochemical reactions in a variety of biological and engineering examples are analyzed and modeled. Students that have taken BENG 222 cannot take BENG 227 for credit."
106,beng,BENG 298L,Laboratory Research Rotation,Laboratory research rotation for first-year BENG PhD students. Students will write a final paper. (S/U grades only.)
107,beng,BENG 202,Bioinformatics II: Introduction to Bioinformatics Algorithms,"(Formerly BENG 202/CSE 257A.) Introduction to methods for sequence analysis. Application to genome and proteome sequences. Protein structure, sequence-structure analysis."
108,beng,CSE 282,Bioinformatics II: Introduction to Bioinformatics Algorithms,"(Formerly BENG 202/CSE 257A.) Introduction to methods for sequence analysis. Application to genome and proteome sequences. Protein structure, sequence-structure analysis."
109,beng,ECE 207A,Principles of Medical Imaging,"Fundamentals of Fourier transform and linear systems theory including convolution, sampling, noise, filtering, image reconstruction, and visualization with an emphasis on applications to biomedical imaging. Examples from optical imaging, CT, MR, ultrasound, nuclear, PET, and radiography. Cross-listed with BENG 280A. Renumbered from ECE 207. Students may receive credit for one of the following: ECE 207A or ECE 207 or BENG 280A."
110,biochemistry,BENG 230A,Biochemistry,"A graduate course in biochemistry especially tailored to the requirements and background of bioengineering graduate students. It will cover the important macro- and small molecules in cells that are the major constituents, or that function as signaling molecules or molecular machineries. The structures, pathways, interactions, methodologies, and molecular designs using recombinant DNA technology will be covered."
111,biochemistry,CHEM 13,Chemistry of Life,"Introduction to biochemistry for nonscience majors. Topics include carbohydrates, lipids, amino acids and proteins, with an introduction to metabolic pathways in human physiology."
112,biochemistry,CHEM 295,Biochemistry Seminar,"Formal seminars or informal puzzle sessions on topics of current interest in biochemistry, as presented by visiting lecturers, local researchers, or students. (S/U grades only.)"
113,biochemistry,CHEM 219A,Special Topics in Biochemistry,"This special-topics course is designed for first-year graduate students in biochemistry. Topics presented in recent years have included protein processing, the chemical modification of proteins, the biosynthesis and function of glycoproteins, lipid biochemistry and membrane structure, and bioenergetics."
114,biochemistry,NANO 242,Biochemistry and Molecular Biology,"Course is designed to give NanoEngineering students from a variety of backgrounds a working knowledge of biochemistry and molecular biology. While the course offers biochemistry basics and key themes in molecular biology, it will emphasize the role of engineering innovations."
115,bioinformatics,BENG 126A,Design Development in Bioinformatics Bioengineering,Development of design project in bioinformatics bioengineering.
116,bioinformatics,BENG 126B,Design Implementation in Bioinformatics Bioengineering,Implementation of design project in bioinformatics bioengineering.
117,bioinformatics,CHEM 280,Applied Bioinformatics,"Publicly available databases and bioinformatics tools are now an indispensable component of biomedical research. This course offers an introductory survey of selected tools and databases; the underlying concepts, the software, and advice on using them. Practical exercises will be included."
