Query,Class Code,Course Title,Course Description,Relevance,Ranking (position)
acting,TDGE 5,A Glimpse into Acting,"An introductory course on acting fundamentals for students without an acting background. Through analysis of acting on film, students will explore the actor’s craft and practice these skills in studio exercises to better understand how an actor approaches a text.",1,1
acting,TDAC 1,Introduction to Acting,"A beginning course in the fundamentals of acting: establishing a working vocabulary and acquiring the basic skills of the acting process. Through exercises, compositions, and improvisations, the student actor explores the imagination as the actor’s primary resource, and the basic approach to text through action.",1,2
acting,TDGE 105,Exploring Acting,"An acting course for nonmajors, building on the acting fundamentals developed in TDGE 5. Using analysis of film acting to practice in studio exercises and scene work, student actors learn to approach a text using imagination as their primary tool.",1,3
acting,TDGE 100,Creating the Role of “Leader”,"Acting and leadership require “choices” to play a role. The role of leader requires authenticity, collaboration, listening, presence, vision, and influence. Students will explore characteristics of strong leaders, and utilizing traditional acting techniques build powerful capabilities of leadership. No prior theatre/acting experience needed.",1,4
acting,TDAC 108,Advanced Topics,"Advanced topics in acting, such as avant-garde drama, commedia, or Beckett, for students who possess basic acting techniques. May be taken for credit four times.",1,5
advance biological topics,BILD 92,Professional Development Topics in the Biological Sciences,"Seminars will introduce students to various professional development topics in the biological sciences. Emphasis may include current research in academe and industry, using campus and community resources to help achieve academic, personal and professional goals, and career exploration. Activities may include presentations by faculty, alumni, and practicing professional biologists, as well as panel discussions with professionals from industry.",1,1
advance biological topics,HDS 95,Career Development Seminar,"This course is centered on conceptual understanding of career development as a lifespan process, with an emphasis on application to student’s individual academic development and career readiness competencies. Includes practical training with professional skills, networking, and career research. The course concludes with a career action plan to help students advance academic and career goals. Cannot be used toward HDS major credit.",0,2
advance biological topics,ANTH 212,Advanced Topics in Biological Anthropology,A critical exploration of timely and/or controversial topics in biological anthropology. Course will vary in title and content.,1,3
advance biological topics,ANBI 100,Special Topics in Biological Anthropology,"Course usually taught by visiting faculty in biological anthropology. Course will vary in title and content. When offered, the current description and title is found in the current Schedule of Classes and the Department of Anthropology website. May be taken for credit four times as topics vary.",1,4
advance biological topics,NEUG 221,Advanced Topics in Neurosciences,Specialized advanced topic areas in neurosciences will be addressed in an interactive seminar course format. A different specific topic will be considered each quarter as announced in advance. Students will each present an aspect of the topic area and participate in discussions.,0,5
advanced machine learning methods,COGS 185,Advanced Machine Learning Methods,This course is an advanced seminar and project course that follows the introduction to machine learning courses. Advanced and new machine learning methods will be discussed and used.,1,1
advanced machine learning methods,ECE 175A,Elements of Machine Intelligence: Pattern Recognition and Machine Learning,Introduction to pattern recognition and machine learning. Decision functions. Statistical pattern classifiers. Generative vs. discriminant methods for pattern classification. Feature selection. Regression. Unsupervised learning. Clustering. Applications of machine learning.,1,2
advanced machine learning methods,SE 132,Machine Learning for Structural Engineering,"This course aims at introducing concepts of machine learning and its applications to structural engineering. Theory behind popular machine learning algorithms will be discussed, including supervised learning, unsupervised learning, and deep learning. Topics include regression, classification, support vector machines, clustering, tree-based methods, model selections and regularizations, cross-validation and bootstrapping, neural networks, and Python programming.",1,3
advanced machine learning methods,DSC 240,Machine Learning,"A graduate level course in machine learning algorithms: decision trees, principal component analysis, k-means, clustering, logistic regression, random forests, boosting, neural networks, kernel methods, deep learning.",1,4
advanced machine learning methods,MATH 181D,Statistical Learning,"Statistical learning refers to a set of tools for modeling and understanding complex data sets. It uses developments in optimization, computer science, and in particular machine learning. This encompasses many methods such as dimensionality reduction, sparse representations, variable selection, classification, boosting, bagging, support vector machines, and machine learning.",1,5
ai,VIS 6,"Race, Gender, and Robots","We will look at works that present androids, cyborgs, and AI as an emergent “other” in media. Examining science fiction films and media, students look critically at how race and gender are represented. Through the lens of feminist and antiracist scholarship, the course presents critical understandings of android/AI stories and their cultural implications. Special emphasis throughout the course will be placed on how such stories remake troubling histories and anxieties about race and gender.",1,1
ai,COGS 186,Genetic Algorithms,"This course will teach in detail some of the key biology-inspired AI algorithms. It will cover genetic algorithms (GA), particle swarm optimization algorithms (PSO), and other optimization algorithms like simulated annealing and gradient descent.",1,2
ai,CSE 150B,Introduction to Artificial Intelligence: Search and Reasoning,"The course will introduce important ideas and algorithms in search and reasoning and demonstrate how they are used in practical AI applications. Topics include A* search, adversarial search, Monte Carlo tree search, reinforcement learning, constraint solving and optimization, propositional and first-order reasoning.",1,3
ai,CSE 156,Statistical Natural Language Processing,"Natural language processing (NLP) is a field of AI which aims to equip computers with the ability to intelligently process natural (human) language. This course will explore statistical techniques for the automatic analysis of natural language data. Specific topics covered include probabilistic language models, which define probability distributions over text passages; text classification; sequence models; parsing sentences into syntactic representations; and machine translation.",1,4
ai,MAE 244,Renewable Energy Integration,"The objective of this course is to introduce students to the research field of integration of renewable energy (RE) in power systems. This course covers some relevant literature and the state of the art in the following subareas related to RE integration: capacity expansion models, optimal power flow, power dynamics, electricity markets, RE variability and forecasting, machine learning and AI for power systems, microgrids and islanded grids, electrical vehicles and demand response, among others.",1,5
algebra,CSE 203B,Convex Optimization Formulations and Algorithms,"We study the formulations and algorithms solving convex optimization problems. The topics include convex sets, functions, optimality conditions, duality concepts, gradient descent, conjugate gradient, interior-point methods, and applications. The objective of the course is to provide students the background and techniques for scientific computing and system optimization. Students cannot receive credit for CSE 203B if they have taken either ECE 273 or MATH 245B.",0,1
algebra,MATH 18,Linear Algebra,"Matrix algebra, Gaussian elimination, determinants. Linear and affine subspaces, bases of Euclidean spaces. Eigenvalues and eigenvectors, quadratic forms, orthogonal matrices, diagonalization of symmetric matrices. Applications. Computing symbolic and graphical solutions using MATLAB. Students may not receive credit for both MATH 18 and 31AH.",1,2
algebra,MATH 201A,Basic Topics in Algebra I,"Recommended for all students specializing in algebra. Basic topics include categorical algebra, commutative algebra, group representations, homological algebra, nonassociative algebra, ring theory. May be taken for credit six times with consent of adviser as topics vary.",1,3
algebra,MATH 31AH,Honors Linear Algebra,"First quarter of three-quarter honors integrated linear algebra/multivariable calculus sequence for well-prepared students. Topics include real/complex number systems, vector spaces, linear transformations, bases and dimension, change of basis, eigenvalues, eigenvectors, diagonalization. (Credit not offered for both MATH 31AH and 20F.)",1,4
algebra,MATH 202A,Applied Algebra I,"Introduction to algebra from a computational perspective. Groups, rings, linear algebra, rational and Jordan forms, unitary and Hermitian matrices, matrix decompositions, perturbation of eigenvalues, group representations, symmetric functions, fast Fourier transform, commutative algebra, Grobner basis, finite fields.",1,5
analytics,CSE 135,Online Database Analytics Applications,"Database, data warehouse, and data cube design; SQL programming and querying with emphasis on analytics; online analytics applications, visualizations, and data exploration; performance tuning.",1,1
analytics,MGTA 452,Collecting and Analyzing Large Data,"This course aims to provide students with an introduction to data analytics in R where the emphasis is more on business “data” than “analytics.” The emphasis is on collecting, handling, manipulating, and summarizing large data sets. Case studies are used throughout the course.",1,2
analytics,MGTA 403,Math and Programming for Business Analytics,"Success in business analytics (data science for business) requires a solid foundation in mathematics, statistics, and programming. This course is designed to enhance students’ ability to solve problems relevant for their future profession. We will build up skills and instill confidence so students can tackle any new data or analytics problems they might face. We teach students to use math and programming to create analytics solutions to important business problems and enjoy the process.",1,3
analytics,MGTA 466,Scalable Analytics,"This course is designed to provide students with skills and knowledge to perform analytics at scale. Topics include steps in the analytics process used to gather, prepare, process, and evaluate data; basic principles of computer systems and parallelism; scalable computing; and cloud-based analytics. Hands-on experience with widely used scalable and cloud platforms will be provided. Through programming assignments, students will apply what they learn in the course to leverage big data.",1,4
analytics,MGTA 461,Web Mining and Recommender Systems,"A graduate course devoted to current methods for recommender systems, data mining, and predictive analytics.",1,5
animal,ANSC 181,Animal Affairs,"We humans are animals. How do our relations with other animals—how we rely on them, how we struggle against them, how we live among them—shape our own worlds? In this course, we examine, through ethnography and speculative fiction, the boundary between human and other animals.",1,1
animal,COGS 142,Animal Communication,"This course introduces the study of animal communication, the key terminology, the remarkable communicative systems that several animal species possess, and the key similarities and differences between human and non-human animals’ communications.",1,2
animal,COGS 143,Animal Cognition,"Examines the contrasts and parallels between primates and cetaceans in sensorimotor constraints, neuroanatomy, field behavior, and cognition in the lab, with a focus on the demands of competition and cooperation that helped shape the evolution of social cognition. Students may not receive credit for COGS 143 and COGS 143GS.",1,3
animal,PSYC 4,General Psychology: Behavioral Foundations,"This course provides an introduction to behavioral psychology. Topics include classical conditioning, operant conditioning, animal learning, and motivation and behavior modification.",0,4
animal,BGGN 226,Graduate Animal Virology,"This course consists of a review of fundamental concepts together with an in-depth analysis of the structure, genetics, multiplication and oncogenicity of animal viruses. Particular emphasis will be given to the DNA and RNA tumor viruses. The format of this section includes lectures and discussion of selected papers.",1,5
aquarium,SIO 197BA,Birch Aquarium Internship,This internship will examine basic science learning theory and interpretive techniques best suited for learners in an aquarium or informal learning setting. Students will demonstrate learned skills by facilitating floor-based interactions and conducting visitor surveys that influence aquarium exhibit design and guest experiences. Interested students should contact the Scripps undergraduate office for application instructions. P/NP grades only.,1,1
aquarium,SIO 180,Communicating Science to Informal Audiences,"Students develop fundamental science communication and instructional skills through the understanding and application of learning theory, interpretive techniques, and pedagogical practices, which occur in the context of communicating ocean science concepts to a diverse audience at Birch Aquarium at Scripps.",1,2
aquarium,NO RESULTS,NO RESULTS,NO RESULTS,0,3
aquarium,NO RESULTS,NO RESULTS,NO RESULTS,0,4
aquarium,NO RESULTS,NO RESULTS,NO RESULTS,0,5
archaeology,ANTH 3,Global Archaeology,"This course examines theories and methods used by archaeologists to investigate the origins and nature of human culture and its materiality. Case studies from the past and present, and digital heritage are explored. Recommended for many upper-division archaeology courses.",1,1
archaeology,ANAR 111,Foundations of Archaeology,"As part of the broad discipline of anthropology, archaeology provides the long chronological record needed for investigating human and social evolution. The theories and methods used in this field are examined. (Archaeology core sequence course.) Recommended preparation: ANTH 3.",1,2
archaeology,ANTH 288,Archaeology Practicum,Field and laboratory training for graduate students in archaeology. Students will design and implement archaeological fieldwork or analyze data collected in the field.,1,3
archaeology,ANTH 21,Race and Racisms,"Why does racism still matter? How is racism experienced in the United States and across the globe? With insights from the biology of human variation, archaeology, colonial history, and sociocultural anthropology, we examine how notions of race and ethnicity structure contemporary societies.",1,4
archaeology,ANAR 153,The Mysterious Maya,"The archaeology, anthropology, and history of the Maya civilization, which thrived in Mexico and Central America from 1000 BC, until the Spanish conquest.",1,5
art,VIS 23,Seminar in Art History Methods,"This course, a lower-division seminar for art history majors, covers the research tools and fundamental skills needed for advanced work in the field. Topics include descriptive and analytical writing; revision and peer review; compiling annotated bibliographies with traditional and online resources, indexes, and databases; evaluating source materials (including those found online); defining research programs; and preparing and delivering art history presentations.",1,1
art,VIS 2,Introduction to Art Making: Motion and Time-Based Art,"An introduction to art making utilizing the transaction between people, objects, situations, and media. Includes both critical reflection on relevant aspects of modern and contemporary art practices (Marina Abramovic, Allen Kaprow, Adrian Piper, James Luna, Stelarc, Ron Athey, conceptual art, performance art, new media art, etc.) and practical experience in a variety of artistic exercises. This course is offered only one time each year.",1,2
art,VIS 20,Introduction to Art in Europe and America,"This course examines the history of Western art and architecture through such defining issues as the respective roles of tradition and innovation in the production and appreciation of art; the relation of art to its broader intellectual and historical contexts; and the changing concepts of the monument, the artist, meaning, style, and “art” itself. Representative examples will be selected from different periods, ranging from antiquity to modern. Content will vary with the instructor.",1,3
art,VIS 11,Introduction to Visual Culture,"This course examines the significant topics in art practice, theory, and history that are shaping contemporary art thinking. A wide range of media extending across studio art practice, digital media, performative practices, and public culture will be considered as interrelated components. This course is offered only one time each year during winter quarter.",1,4
art,CAT 3,"Culture, Art, and Technology 3","Lower-division writing- and research-intensive course focusing on collaboration, research, and art-making by speculating on how the relationships between culture, art, and technology will be transformed in the future.",1,5
artificial intelligence,COGS 188,Artificial Intelligence Algorithms,This class will cover a broad spectrum of machine learning algorithms. It builds on students’ previous exposure to machine learning. It covers new artificial intelligence algorithms ranging from topic models as used in the text data analysis to genetic algorithms. Students will not receive credit for both COGS 188 and CSE 151A.,1,1
artificial intelligence,PSYC 230,Computational Approaches to Visual Abstraction,"This course explores the problem of how humans produce and comprehend graphical representations, combining approaches from computational neuroscience, cognitive science, and artificial intelligence.",1,2
artificial intelligence,CSE 259,Seminar in Artificial Intelligence,"A weekly meeting featuring local (and occasional external) speakers discussing their current research in artificial intelligence neural networks, and genetic algorithms. (S/U grades only.)",1,3
artificial intelligence,PHIL 150,Philosophy of the Cognitive Sciences,"Theoretical, empirical, methodological, and philosophical issues at work in the cognitive sciences (e.g., psychology, linguistics, neuroscience, artificial intelligence, and computer science), concerning things such as mental representation, consciousness, rationality, explanation, and nativism.",1,4
artificial intelligence,CGS 108,"Gender, Race, and Artificial Intelligence","(Cross-listed with LTCS 108.) This course explores the idea of artificial intelligence in both art and science, its relation to the quest to identify what makes us human, and the role gender and race have played in both. Students may not receive credit for CGS 108 and LTCS 108.",1,5
asia,HILD 11,"East Asia and the West, 1279–1911","The East Asia survey compares and contrasts the development of China, Korea, and Japan from ancient times to the present. From the Mongol conquests through China’s and Korea’s last dynasties, and the rise of Meiji Japan, this course examines political, institutional, and cultural ruptures and continuities as East Asia responded to the challenges of Western imperialism with defense, reform, conservative reaction, and creative imitation.",1,1
asia,HILD 12,Twentieth-Century East Asia,"The East Asia survey compares and contrasts the development of China, Korea, and Japan from ancient times to the present. This course examines the emergence of a regionally dominant Japan before and after World War II; the process of revolution and state-building in China during the nationalist and communist eras; and Korea’s encounter with colonialism, nationalism, war, revolution, and industrialization.",1,2
asia,COMM 104D,CMS: Asia,"The development of media systems in Asia, focusing on India and China. Debates over nationalism, regionalism, globalization, new technologies, identity politics, censorship, privatization, and media piracy. Alignments and differences with North American and European media systems will also be considered.",1,3
asia,HILD 10,East Asia: The Great Tradition,"The East Asia survey compares and contrasts the development of China, Korea, and Japan from ancient times to the present. This course explores the evolution of civilization from the first writing through classical Hei’an Japan, aristocratic Koryo, and late imperial Song China. Primary and secondary readings on basic ideas, institutions, and practices of the Confucian, Daoist, and Buddhist paths and of the state and family.",1,4
asia,ANSC 191GS,Everyday Life in South Asia: Beyond the Clichés,"Popular representations of South Asia abound in clichés: poverty and luxury, cities and hamlets, ascetics and call centers. What do these clichés do to our understanding of South Asia? How do we get beneath or beyond these representations? We will respond to these questions by exploring how people in South Asia live on a day-to-day basis, while also attending to how major historical events, such as colonialism and the Partition of India and Pakistan, shape contemporary life and politics. Program or materials fees may apply.",1,5
astronomy,PHYA 299,Thesis Research in Astronomy,Directed research on dissertation topic in astronomy. May be taken for credit up to twenty-four times. (S/U grade only.),1,1
astronomy,ECE 90,Undergraduate Seminar,"This seminar class will provide a broad review of current research topics in both electrical engineering and computer engineering. Typical subject areas are signal processing, VLSI design, electronic materials and devices, radio astronomy, communications, and optical computing.",0,2
astronomy,PHYA 200,Survey of Astronomy,"Introduction to astronomical concepts and phenomenology at the graduate level. Astrophysical measurement, major structures in the universe, properties of stars and galaxies, star formation and stellar processes, HR diagram, the Milky Way, galaxy formation and evolution, stellar and galactic clusters, cosmological distance scales, dark matter and energy, and cosmology. Includes order of magnitude problem-solving covering all fields of astrophysics.",1,3
astronomy,PHYA 298,Directed Study in Astronomy,Research studies under the direction of a faculty member. May be taken for credit up to twenty-four times. (S/U grade only.),1,4
astronomy,PHYA 296,Year Two Research in Astronomy,"Research studies under the direction of a faculty member in preparation for astronomy PhD program qualification. Two quarters of PHYA 296 are required for degree requirements, and must focus on a research project designed in conjunction with a faculty adviser on any suitable research topic. May be taken for credit up to three times. (S/U grade only.)",1,5
audio,COMM 102B,MMPP: Audio Story and Podcasting Practicum,"Production-oriented course involving diverse audio media forms. Critically analyze journalistic podcasts, features, documentaries, diaries, place-casts, and news shorts to evaluate what makes for compelling and effective audio as a contemporary storytelling form. Students will gain technical and production skills to facilitate their own creativity in the audio sphere.",1,1
audio,COMM 120I,AMP: Social Issues in Media Production,"Analyze forms of social issue media production, photography, audio/radio, arts, crafts, web, print zines, political documentary. Students work with several forms of media making: video, audio, web design, and a project in their chosen format.",0,2
audio,COMM 20,Analysis of Media Forms and Cultures,"This course builds the critical skills to understand, analyze, and interpret audio/visual media by introducing students to the basic vocabulary and grammar of audio and moving image texts—how they create meaning through compositional form and narrative style—and key critical methodologies for interpreting media culture. Concepts and approaches covered will lay the groundwork for continued study in both scholarly communication areas and hands-on sound, film/video, and/or social media production.",1,3
audio,MUS 270A,Digital Audio Processing,"Digital techniques for analysis, synthesis, and processing of musical sounds. Sampling theory. Software synthesis techniques. Digital filter design. The short-time Fourier transform. Numerical accuracy considerations.",1,4
audio,MUS 271B,Survey of Electronic Music Techniques II,"A continuation of 271A, with emphasis on live interactive techniques (e.g., audio processing; analysis/resynthesis; score following).",1,5
autonomous vehicles,ECE 148,Introduction to Autonomous Vehicles,"This course introduces students to the fundamentals of autonomous vehicles using an accelerated and engaging engineering curriculum leveraging the educational benefits of robotics “coopertition” (cooperative competition). Students work in small teams building scale cars utilizing best engineering practices. Skills to be learned include fast prototyping, project management, traditional programming, and computer vision using Robot Operating System (ROS) and artificial intelligence deep learning. Cross-listed with MAE 148. Students may not receive credit for ECE 148 and MAE 148. Program or materials fees may apply.",1,1
autonomous vehicles,MAE 148,Introduction to Autonomous Vehicles,"Fundamentals of autonomous vehicles. Working in small teams, students will develop 1/8-scale autonomous cars that must perform on a simulated city track. Topics include robotics system integration, computer vision, algorithms for navigation, on-vehicle vs. off-vehicle computation, computer learning systems such as neural networks, locomotion systems, vehicle steering, dead reckoning, odometry, sensor fusion, GPS autopilot limitations, wiring, and power distribution and management.",1,2
autonomous vehicles,MAE 247,Cooperative Control of Multi-agent Systems,"Tools for the design of cooperative control strategies for multi-agent systems are presented. Topics include continuous and discrete-time evolution models, proximity graphs, performance measures, invariance principles, and coordination algorithms for rendezvous, deployment, flocking, formation of autonomous vehicles and consensus.",1,3
autonomous vehicles,ECE 194,Viacar Design Project,"Students design, build, and race an autonomous car using principles in electrical engineering and computer science: circuit design, control theory, digital signal processing, embedded systems, microcontrollers, electromagnetism, and programming.",1,4
autonomous vehicles,CSE 257,Search and Optimization,"The course will cover core algorithms for sequential decision-making problems in autonomous systems. Topics include heuristic search, Monte Carlo search, deep reinforcement learning, nonlinear optimization, mixed-integer optimization, and stochastic optimization.",1,5
baseball,POLI 137,A Sports Analytics Approach to the Social Sciences,"Sports analytics is a fast-growing field. It uses data and statistical methods to measure performance in competitive sports. The approach’s popularity has generated a wealth of data that can be used to shed light on social science questions in interesting ways. We will focus on topics such as violent behavior, discrimination, cultural/ethnic diversity, corruption, and cognitive biases using examples from baseball, basketball, figure skating, football, hockey, soccer, and sumo wrestling.",1,1
baseball,NO RESULTS,NO RESULTS,NO RESULTS,0,2
baseball,NO RESULTS,NO RESULTS,NO RESULTS,0,3
baseball,NO RESULTS,NO RESULTS,NO RESULTS,0,4
baseball,NO RESULTS,NO RESULTS,NO RESULTS,0,5
bayes theorem,NANO 114,Probability and Statistical Methods for Engineers,"Probability theory, conditional probability, Bayes theorem, discrete random variables, continuous random variables, expectation and variance, central limit theorem, graphical and numerical presentation of data, least squares estimation and regression, confidence intervals, testing hypotheses. Cross-listed with CENG 114. Students may not receive credit for both NANO 114 and CENG 114.",1,1
bayes theorem,CENG 114,Probability and Statistical Methods for Engineers,"Probability theory, conditional probability, Bayes theorem, discrete random variables, continuous random variables, expectation and variance, central limit theorem, graphical and numerical presentation of data, least squares estimation and regression, confidence intervals, testing hypotheses. Cross-listed with NANO 114. Students may not receive credit for both CENG 114 and NANO 114.",1,2
bayes theorem,MAE 108,Probability and Statistical Methods for Mechanical Engineering,"Probability theory, conditional probability, Bayes theorem, random variables, densities, expected values, characteristic functions, central limit theorem. Engineering reliability, elements of estimation, random sampling, sampling distributions, hypothesis testing, confidence intervals. Curve fitting and data analysis. Students cannot receive credit for MAE 108 and ECE 109, ECON 120A, MATH 180A, MATH 183, MATH 186, or SE 125.",1,3
bayes theorem,MATH 11,Calculus-Based Introductory Probability and Statistics,"Events and probabilities, conditional probability, Bayes’ formula. Discrete and continuous random variables: mean, variance; binomial, Poisson distributions, normal, uniform, exponential distributions, central limit theorem. Sample statistics, confidence intervals, hypothesis testing, regression. Applications. Introduction to software for probabilistic and statistical analysis. Emphasis on connections between probability and statistics, numerical results of real data, and techniques of data analysis.",1,4
bayes theorem,MAE 279,Uncertainty Quantification,"This course is an introduction to uncertainty quantification and will cover basic and advanced computational methods to quantify uncertainties in parameters, systems, and simulation. Covers basics in statistical and stochastic modeling, Monte Carlo sampling techniques including variance reduction and importance sampling, sensitivity analysis, Bayes’ theorem and related Bayesian inference methods (variants of Markov chain Monte Carlo).",1,5
biochemistry,BENG 230A,Biochemistry,"A graduate course in biochemistry especially tailored to the requirements and background of bioengineering graduate students. It will cover the important macro- and small molecules in cells that are the major constituents, or that function as signaling molecules or molecular machineries. The structures, pathways, interactions, methodologies, and molecular designs using recombinant DNA technology will be covered.",1,1
biochemistry,CHEM 13,Chemistry of Life,"Introduction to biochemistry for nonscience majors. Topics include carbohydrates, lipids, amino acids and proteins, with an introduction to metabolic pathways in human physiology.",1,2
biochemistry,CHEM 295,Biochemistry Seminar,"Formal seminars or informal puzzle sessions on topics of current interest in biochemistry, as presented by visiting lecturers, local researchers, or students. (S/U grades only.)",1,3
biochemistry,CHEM 219A,Special Topics in Biochemistry,"This special-topics course is designed for first-year graduate students in biochemistry. Topics presented in recent years have included protein processing, the chemical modification of proteins, the biosynthesis and function of glycoproteins, lipid biochemistry and membrane structure, and bioenergetics.",1,4
biochemistry,NANO 242,Biochemistry and Molecular Biology,"Course is designed to give NanoEngineering students from a variety of backgrounds a working knowledge of biochemistry and molecular biology. While the course offers biochemistry basics and key themes in molecular biology, it will emphasize the role of engineering innovations.",1,5
bioinformatics,BENG 126A,Design Development in Bioinformatics Bioengineering,Development of design project in bioinformatics bioengineering.,1,1
bioinformatics,BENG 126B,Design Implementation in Bioinformatics Bioengineering,Implementation of design project in bioinformatics bioengineering.,1,2
bioinformatics,CHEM 280,Applied Bioinformatics,"Publicly available databases and bioinformatics tools are now an indispensable component of biomedical research. This course offers an introductory survey of selected tools and databases; the underlying concepts, the software, and advice on using them. Practical exercises will be included.",1,3
bioinformatics,BIMM 143,Bioinformatics Laboratory,"Bioinformatics is the analysis of big data in the biosciences. This course provides a hands-on introduction to the computer-based analysis of biomolecular and genomic data. Major topic areas include advances in sequencing technologies, genome resequencing and variation analysis, transcriptomics, structural bioinformatics, and personal genomics. This course will utilize free, web-based bioinformatics tools and no programming skills are required. Students may receive credit for one of the following: BIMM 143 or BIMM 143R.",1,4
bioinformatics,BIMM 143R,Bioinformatics Laboratory,"Bioinformatics is the analysis of big data in the biosciences. This course provides a hands-on introduction to the computer-based analysis of biomolecular and genomic data. Major topic areas include advances in sequencing technologies, genome resequencing and variation analysis, transcriptomics, structural bioinformatics, and personal genomics. This course will utilize free, web-based bioinformatics tools and no programming skills are required. This course is a distance education course. Students may receive credit for one of the following: BIMM 143 or BIMM 143R.",1,5
biology,BGGN 234,Practical Histopathology and Mouse Models of Human Disease,"(Cross-listed with PATH 234, MED 234, BIOM 238.) This course is designed to train those who need to analyze mouse models of human disease that are an essential part of their research. Sessions will include hematology, chemistry, histology, and immunohistochemistry methods used in the phenotyping assays. (Quarter offered varies and course is not offered every year.)",1,1
biology,BIOM 234,Practical Histopathology and Mouse Models of Human Diseases,The course is designed to introduce or reintroduce histology and histopathology of the various organ systems to those who need to analyze mouse tissues as an essential part of their research.,1,2
biology,BIOM 297,Progress in Signal Transduction,Papers describing recent progress in signal transduction from the cell-surface to the nucleus will be chosen from recent research literature. Two papers will be discussed and criticized in detail each week for one hour.,1,3
biology,BNFO 284,Nonlinear Dynamics in Quantitative Biology,"Qualitative, analytical and computational mathematical modeling techniques applied to regulatory networks and signaling networks. Stability, bifurcations, oscillations, multistability, hysteresis, multiple timescales, and chaos. Introduction to experimental data analysis and control techniques. Applications to synthetic biology, cellular population dynamics, ad canonical signaling networks (inflammation, tumor suppression, metabolism). Letter grades only.",1,4
biology,BILD 4,Introductory Biology Lab,"Students gain hands-on experience and learn the theoretical basis of lab techniques common to a variety of biological disciplines such as biochemistry, molecular biology, cell biology, and bioinformatics. Students will work in groups, learning how to collect, analyze, and present data while using the scientific method to conduct inquiry-based laboratory experiments. Material lab fees will apply.",1,5
board games,COMM 105G,CT: Computer Games Studies,"Course considers computer games both as media and as sites of communication. Games are studied through hands-on play and texts from a variety of disciplinary perspectives. Course encompasses commercial, academic, and independent games.",1,1
board games,POLI 205,Game Theory II,"This course covers advanced topics in game theory. Covered topics will include incomplete information in static and dynamic games, infinitely repeated games, and bargaining games. Emphasis will be placed on advanced equilibrium concepts, and applications of interest to political scientists.",0,2
board games,COGR 239,Computer Game Studies,"Course considers computer games as media, rule systems, technology, and sites of communication. Approaches include hands-on play and reading material from a variety of disciplinary perspectives. Course encompasses both commercial games and the longer, more diverse academic and independent traditions.",1,3
board games,ECON 208,Games and Information,Further topics in game theory and the economics of information.,0,4
board games,POLI 204C,Game Theory 1,This course introduces students to the rudiments of decision theory and game theory. Emphasis will be placed on modeling and solving games.,0,5
botany,SIO 166,Introduction to Environmental Archaeology—Theory and Method of Socioecodynamics and Human Paleoecology,"Introduction to the multidisciplinary tools for paleoenvironmental analysis—from ecology, sedimentology, climatology, zoology, botany, chemistry, and others—and provides the theory and method to investigate the dynamics between human behavior and natural processes. This socioecodynamic perspective facilitates a nuanced understanding of topics such as resource overexploitation, impacts on biodiversity, social vulnerability, sustainability, and responses to climate change. Students may not receive credit for ANAR 166 and SIO 166.",1,1
