Query,Class Code,Class Title,Class Description
advance biological topics,BGGN 285,Advanced Topics in Modern Biology,"Course will vary in title and content. Students are expected to actively participate in course discussions, read, and analyze primary literature. Current descriptions and subtitles may be found on the Schedule of Classes and the School of Biological Sciences website. Enrollment restricted to MS students only in the following major code: BI84, BI87. May be taken for credit up to four times. Students may receive credit only once for BGGN 285 on a given topic. May be coscheduled with BISP 194. Students may not receive credit for BGGN 285 on the same topic taken previously as BISP 194."
advance biological topics,BIBC 194,Advanced Topics in Modern Biology: Biochemistry,"Course will vary in title and content. Students are expected to actively participate in course discussions, read, and analyze primary literature. Current descriptions and subtitles may be found on the Schedule of Classes and the School of Biological Sciences website. Students may receive credit in 194 courses a total of four times as topics vary. Students may not receive credit for the same topic."
advance biological topics,BGGN 280,Advanced Topics in Modern Biology: Biochemistry,"Course will vary in title and content. Students are expected to actively participate in course discussions, read, and analyze primary literature. Current descriptions and subtitles may be found on the Schedule of Classes and the School of Biological Sciences website. Enrollment restricted to MS students only in the following major code: BI84, BI87. May be taken for credit up to four times. Students may receive credit only once for BGGN 280 on a given topic. May be coscheduled with BIBC 194. Students may not receive credit for BGGN 280 on the same topic taken previously as BIBC 194."
advance biological topics,BILD 92,Professional Development Topics in the Biological Sciences,"Seminars will introduce students to various professional development topics in the biological sciences. Emphasis may include current research in academe and industry, using campus and community resources to help achieve academic, personal and professional goals, and career exploration. Activities may include presentations by faculty, alumni, and practicing professional biologists, as well as panel discussions with professionals from industry."
advanced machine learning methods,COGS 185,Advanced Machine Learning Methods,This course is an advanced seminar and project course that follows the introduction to machine learning courses. Advanced and new machine learning methods will be discussed and used.
advanced machine learning methods,MAE 146,Introduction to Machine Learning Algorithms,"An introduction to the principles used to design and implement machine learning algorithms, as well as an understanding of their advantages and limitations. The topics covered are python review, supervised learning (linear, logistic/sigmoid regression, generalized linear models, nonlinear regression via Kernels), neural network types (convolutional, recurrent, deep NN), unsupervised learning (k-means clustering). Application of ML in different examples. Recommended preparation: ECE 143 and/or python programming knowledge."
advanced machine learning methods,DSC 240,Machine Learning,"A graduate level course in machine learning algorithms: decision trees, principal component analysis, k-means, clustering, logistic regression, random forests, boosting, neural networks, kernel methods, deep learning."
advanced machine learning methods,CSE 151A,Introduction to Machine Learning,"Broad introduction to machine learning. The topics include some topics in supervised learning, such as k-nearest neighbor classifiers, decision trees, boosting, and perceptrons; and topics in unsupervised learning, such as k-means and hierarchical clustering. In addition to the actual algorithms, the course focuses on the principles behind the algorithms. Students may not receive credit for both CSE 151A and COGS 188, nor may they receive credit for both CSE 151A and CSE 151."
advanced machine learning methods,DSC 250,Advanced Data Mining,"Graph mining and basic text analysis (including keyphrase extraction and generation), set expansion and taxonomy construction, graph representation learning, graph convolutional neural networks, heterogeneous information networks, label propagation, and truth findings."
ai,COGS 188,Artificial Intelligence Algorithms,This class will cover a broad spectrum of machine learning algorithms. It builds on students’ previous exposure to machine learning. It covers new artificial intelligence algorithms ranging from topic models as used in the text data analysis to genetic algorithms. Students will not receive credit for both COGS 188 and CSE 151A.
ai,CSE 259,Seminar in Artificial Intelligence,"A weekly meeting featuring local (and occasional external) speakers discussing their current research in artificial intelligence neural networks, and genetic algorithms. (S/U grades only.)"
ai,LTCS 108,"Gender, Race, and Artificial Intelligence","This course explores the idea of artificial intelligence in both art and science, its relation to the quest to identify what makes us human, and the roles gender and race have played in both. Students may not receive credit for CGS 108 and LTCS 108."
ai,CSE 150B,Introduction to Artificial Intelligence: Search and Reasoning,"The course will introduce important ideas and algorithms in search and reasoning and demonstrate how they are used in practical AI applications. Topics include A* search, adversarial search, Monte Carlo tree search, reinforcement learning, constraint solving and optimization, propositional and first-order reasoning."
ai,CGS 108,"Gender, Race, and Artificial Intelligence","(Cross-listed with LTCS 108.) This course explores the idea of artificial intelligence in both art and science, its relation to the quest to identify what makes us human, and the role gender and race have played in both. Students may not receive credit for CGS 108 and LTCS 108."
algae,SIO 183,Phycology: Marine Plant Biology,"Lecture and laboratory course emphasizing the biology, ecology and taxonomy of marine plants and seaweeds. Laboratory work mainly involves examination, slide preparation and dissection of fresh material collected locally. An oral presentation on a current research topic is required. Program or course fee may apply."
algae,SIOB 283,Phycology: Marine Plant Biology,"Lecture and laboratory course emphasizing the biology, ecology and taxonomy of marine plants and seaweeds. Laboratory work mainly involves examination, slide preparation and dissection of fresh material collected locally. An oral presentation on a current research topic is required. Program or course fee may apply. Graduate students, additionally, are required to write a research paper. Offered in alternate years. May be coscheduled with SIO 183. Renumbered from SIO 283. Students may not receive credit for SIO 283 and SIOB 283. Program or materials fees may apply."
algae,SIOB 282,Phytoplankton Diversity,"Molecular, biochemical, ecological, and evolutionary perspectives on the diversity of eukaryotic and prokaryotic phytoplankton."
algae,SIO 188,Biology of Fishes,"The comparative evolution, morphology, physiology, and ecology of fishes. Special emphasis on local, deep-sea, and pelagic forms in laboratory."
algae,SIOB 294,Biology of Fishes,"The comparative evolution, morphology, physiology, and ecology of fishes. Special emphasis on local, deep-sea, and pelagic forms in laboratory."
algebra,MATH 200A,Algebra I,"First course in graduate algebra. Topics may include group actions, Sylow theorems, solvable and nilpotent groups, free groups and presentations, semidirect products, polynomial rings, unique factorization, chain conditions, modules over principal ideal domains, rational and Jordan canonical forms, tensor products, projective and flat modules, Galois theory, solvability by radicals, localization, primary decomposition, Hilbert Nullstellensatz, integral extensions, Dedekind domains, Krull dimension."
algebra,MATH 200B,Algebra II,"Second course in graduate algebra. Topics may include group actions, Sylow theorems, solvable and nilpotent groups, free groups and presentations, semidirect products, polynomial rings, unique factorization, chain conditions, modules over principal ideal domains, rational and Jordan canonical forms, tensor products, projective and flat modules, Galois theory, solvability by radicals, localization, primary decomposition, Hilbert Nullstellensatz, integral extensions, Dedekind domains, Krull dimension."
algebra,MATH 200C,Algebra III,"Third course in graduate algebra. Topics may include group actions, Sylow theorems, solvable and nilpotent groups, free groups and presentations, semidirect products, polynomial rings, unique factorization, chain conditions, modules over principal ideal domains, rational and Jordan canonical forms, tensor products, projective and flat modules, Galois theory, solvability by radicals, localization, primary decomposition, Hilbert Nullstellensatz, integral extensions, Dedekind domains, Krull dimension."
algebra,MATH 103A,Modern Algebra I,"First course in a two-quarter introduction to abstract algebra with some applications. Emphasis on group theory. Topics include definitions and basic properties of groups, properties of isomorphisms, subgroups. (Students may not receive credit for both MATH 100A and MATH 103A.)"
algebra,MATH 100A,Abstract Algebra I,"First course in a rigorous three-quarter introduction to the methods and basic structures of higher algebra. Topics include groups, subgroups and factor groups, homomorphisms, rings, fields. (Students may not receive credit for both MATH 100A and MATH 103A.)"
algos,SIO 121GS,Geology of the Alps,"This global seminar course will examine the geology of the Alps range. Students will develop an in-depth understanding of the geology, tectonics, and geomorphology of this fascinating, beautiful, and geologically complex region. The course will focus closely on the tectonics of the region and the subsequent geologic processes that have shaped it (e.g., glaciation) since the late Mesozoic Alpine Orogeny. Classroom study will be strongly augmented with local and regional field excursions. Program or materials fees may apply."
algos,LTGK 2,Intermediate Greek (I),"Continuation of study of ancient Greek, including grammar and reading."
algos,CSE 221,Operating Systems,"Operating system structures, concurrent computation models, scheduling, synchronization mechanisms, address spaces, memory management protection and security, buffering, streams, data-copying reduction techniques, file systems, naming, caching, disk organization, mapped files, remote file systems, case studies of major operating systems."
algos,NO RESULTS,NO RESULTS,NO RESULTS
algos,NO RESULTS,NO RESULTS,NO RESULTS
analytics,MGT 151R,Business Analytics,"This course focuses on the concept of data analytics, and the convergence of data and business. From a practical standpoint, the course focuses on solving business problems by examining industry data, machine learning, statistics, and various forms of data analytics concepts. The fundamental goal of the course is to ensure students learn and understand fundamental interconnections and practical coding applications within the field of data analytics. This course is a distance education course."
analytics,MGTA 466,Scalable Analytics,"This course is designed to provide students with skills and knowledge to perform analytics at scale. Topics include steps in the analytics process used to gather, prepare, process, and evaluate data; basic principles of computer systems and parallelism; scalable computing; and cloud-based analytics. Hands-on experience with widely used scalable and cloud platforms will be provided. Through programming assignments, students will apply what they learn in the course to leverage big data."
analytics,MGTA 453,Business Analytics,"This course is designed to help a business manager to use data to make good decisions in complex decision-making situations. Several analytical and econometric methods will be covered including decision analysis, regression analysis, optimization, and simulation."
analytics,DSC 208R,Data Management for Analytics,"Principles, techniques, and tools for organizing, storing, querying, transforming, and using data for analytics and machine learning computations at scale; including the relational data model, relational algebra, database system features for faster querying, and non-relational data systems. Introduction to data quality issues, data cleansing, cluster and cloud computing, and transformation for feature engineering. Evaluation of analytics results including reasoning about bias and fairness. This is a distance education course."
analytics,MGTA 414,Web Data Analytics,"This course focuses on collecting, drawing inference, and making business decisions based on data. It will cover tools such as Python, APIs, and NLP to collect, manipulate, and analyze data from the web and other sources, with the objective of making students data-savvy and comfortable with deriving insights from real-world, large data sets. Students will be exposed to the power of clickstream analysis and the possibilities that can be unleashed from industrial applications of web data analytics."
animal,COGS 142,Animal Communication,"This course introduces the study of animal communication, the key terminology, the remarkable communicative systems that several animal species possess, and the key similarities and differences between human and non-human animals’ communications."
animal,PSYC 122,Mechanisms of Animal Behavior,This course focuses on approaches to the study of behavior and its underlying fundamental units of analysis in human and nonhuman animals. Students may not receive credit for both PSYC 122 and PSYC 103.
animal,ANTH 102,Humans Are Cultural Animals,"This class examines humans from a comparative perspective; if we ignore culture, what’s left? How do culture and biology interact? And how does biology inform cultural debates over race, sex, marriage, war, peace, etc.?"
animal,COGS 143,Animal Cognition,"Examines the contrasts and parallels between primates and cetaceans in sensorimotor constraints, neuroanatomy, field behavior, and cognition in the lab, with a focus on the demands of competition and cooperation that helped shape the evolution of social cognition. Students may not receive credit for COGS 143 and COGS 143GS."
animal,PSYC 118,Laboratory in Animal Behavior,"This course provides an opportunity to learn about the various evolutionary forces that shape a species’ natural behavioral repertoire while also conducting research related to these issues. Classroom lectures on topics related to ethology will be complemented by a research project in which students collect observational data on animal behavior. Open to the following majors only: PC26, PC28, PC29, PC30, PC31, PC32, PC33, PC34, CG32."
aquarium,SIO 197BA,Birch Aquarium Internship,This internship will examine basic science learning theory and interpretive techniques best suited for learners in an aquarium or informal learning setting. Students will demonstrate learned skills by facilitating floor-based interactions and conducting visitor surveys that influence aquarium exhibit design and guest experiences. Interested students should contact the Scripps undergraduate office for application instructions. P/NP grades only.
aquarium,SIO 188,Biology of Fishes,"The comparative evolution, morphology, physiology, and ecology of fishes. Special emphasis on local, deep-sea, and pelagic forms in laboratory."
aquarium,SIOB 294,Biology of Fishes,"The comparative evolution, morphology, physiology, and ecology of fishes. Special emphasis on local, deep-sea, and pelagic forms in laboratory."
aquarium,NO RESULTS,NO RESULTS,NO RESULTS
aquarium,NO RESULTS,NO RESULTS,NO RESULTS
archaeology,ANTH 3,Global Archaeology,"This course examines theories and methods used by archaeologists to investigate the origins and nature of human culture and its materiality. Case studies from the past and present, and digital heritage are explored. Recommended for many upper-division archaeology courses."
archaeology,ANTH 288,Archaeology Practicum,Field and laboratory training for graduate students in archaeology. Students will design and implement archaeological fieldwork or analyze data collected in the field.
archaeology,ANTH 258,Analytical Methods in Archaeology,"Specialized scientific techniques are increasingly important to archaeology. This seminar examines chronometric date techniques, site-formation processes, and geoarchaeology and pedology, chemical analyses of soils, zooarchaeology, paleoethnobotany, and how land-use strategies can be inferred from archaeological remains."
archaeology,ANAR 111,Foundations of Archaeology,"As part of the broad discipline of anthropology, archaeology provides the long chronological record needed for investigating human and social evolution. The theories and methods used in this field are examined. (Archaeology core sequence course.) Recommended preparation: ANTH 3."
archaeology,ANAR 124,Archaeology of Asia,"This course explores the archaeology of Asia from the first humans through the rise of state societies. Topics include the environmental setting, pioneer migrations, hunting and gathering societies, plant and animal domestication, and the development of metallurgy, agriculture, technology, trade, and warfare in early civilizations. We consider how ancient political, intellectual, and artistic achievements shape the archaeological heritage in present-day Asia."
art,VIS 110H,Art and Text,"This class is for the advanced visual arts major devoted to the study and practice of the multiple ways in which writing and other forms of visible language have been incorporated into contemporary and traditional artworks, including artists’ books, collaging and poster art, literature and poetry, typographical experiments, and calligraphies. Two production-course limitation."
art,PHIL 175,Aesthetics,"Central issues in philosophical aesthetics such as the nature of art and aesthetic experience, the grounds of artistic interpretation and evaluation, artistic representation, and the role of the arts in education, culture, and politics. May be taken for credit two times."
art,VIS 120B,Roman Art,"Roman art was the “modern art” of antiquity. Out of their Italic tradition and the great inheritance of Greek classic and Hellenistic art, the Romans forged a new language of form to meet the needs of a vast empire, a complex and tumultuous society, and a sophisticated, intellectually diverse culture. An unprecedented architecture of shaped space used new materials and revolutionary engineering techniques in boldly functional ways for purposes of psychological control and symbolic assertion. Sculpture in the round and in relief was pictorialized to gain spatial effects and immediacy of presence, and an extraordinary art of portraiture investigated the psychology while asserting the status claims of the individual. Extreme shifts of style, from the classicism of the age of Augustus to the expressionism of the third century AD, are characteristic of this period. The new modes of architecture, sculpture, and painting, whether in the service of the rhetoric of state power or of the individual quest for meaning, were passed on to the medieval and ultimately to the modern West. Recommended preparation: VIS 20."
art,VIS 202,Art Practice,"A workshop/seminar devoted to a particular materials practice (e.g., media, painting, digital media, etc.) that engages with critical questions arising within that discipline. Content will vary from quarter to quarter. May be taken for credit two times. (Required, MFA)"
art,VIS 125BN,Contemporary Art,"Art after abstract expressionism: happenings, postpainterly abstraction, minimalism, performance, earth art, conceptual art, neo-expressionism, postconceptualism and development in the 1990s, including non-Western contexts. We also explore the relation of these tendencies to postmodernism, feminism, and ideas of postcoloniality. Recommended preparation: VIS 20 or 22 recommended."
artificial intelligence,COGS 188,Artificial Intelligence Algorithms,This class will cover a broad spectrum of machine learning algorithms. It builds on students’ previous exposure to machine learning. It covers new artificial intelligence algorithms ranging from topic models as used in the text data analysis to genetic algorithms. Students will not receive credit for both COGS 188 and CSE 151A.
artificial intelligence,CSE 150B,Introduction to Artificial Intelligence: Search and Reasoning,"The course will introduce important ideas and algorithms in search and reasoning and demonstrate how they are used in practical AI applications. Topics include A* search, adversarial search, Monte Carlo tree search, reinforcement learning, constraint solving and optimization, propositional and first-order reasoning."
artificial intelligence,CSE 150A,Introduction to Artificial Intelligence: Probabilistic Reasoning and Decision-Making,"Introduction to probabilistic models at the heart of modern artificial intelligence. Specific topics to be covered include probabilistic methods for reasoning and decision-making under uncertainty; inference and learning in Bayesian networks; prediction and planning in Markov decision processes; applications to intelligent systems, speech and natural language processing, information retrieval, and robotics."
artificial intelligence,CSE 259,Seminar in Artificial Intelligence,"A weekly meeting featuring local (and occasional external) speakers discussing their current research in artificial intelligence neural networks, and genetic algorithms. (S/U grades only.)"
artificial intelligence,LTCS 108,"Gender, Race, and Artificial Intelligence","This course explores the idea of artificial intelligence in both art and science, its relation to the quest to identify what makes us human, and the roles gender and race have played in both. Students may not receive credit for CGS 108 and LTCS 108."
asia,ANAR 124,Archaeology of Asia,"This course explores the archaeology of Asia from the first humans through the rise of state societies. Topics include the environmental setting, pioneer migrations, hunting and gathering societies, plant and animal domestication, and the development of metallurgy, agriculture, technology, trade, and warfare in early civilizations. We consider how ancient political, intellectual, and artistic achievements shape the archaeological heritage in present-day Asia."
asia,LTSP 155,Asia in Latin America,"This course introduces students to the comparative and multidisciplinary study of cultural productions and historical formations that link Asia and Latin America. Students will be exposed to diverse methodologies drawn from transpacific studies, postcolonial theory, critical race studies, and the study of imperialism, colonialism, global modernity, and popular cultures."
asia,GPPS 400,International Relations of Asia-Pacific,International relations and developing international political economies of nations bordering the Pacific. Topics include the “Pacific Basin” concept; the United States and “hegemonic-stability” theory; legacies of the Korean War and Sino-Soviet dispute; immigration patterns and their consequences; and Japan’s foreign policy. Renumbered from IRGN 400. Students may not receive credit for GPPS 400 and IRGN 400.
asia,COMM 104D,CMS: Asia,"The development of media systems in Asia, focusing on India and China. Debates over nationalism, regionalism, globalization, new technologies, identity politics, censorship, privatization, and media piracy. Alignments and differences with North American and European media systems will also be considered."
asia,GPPA 470,Energy and Environmental Policy in Asia,"This course focuses on the drivers and potential policy solutions to environmental challenges facing Asia, including detailed treatment of climate change and air pollution, and their nexus with other aspects of environmental degradation. Key features—engineering, economics, and politics—of energy systems necessary to understand the issues will be covered, and how markets and institutions have coevolved with these infrastructures in the region. We look at China, India, Japan, and Southeast Asia. Students may not earn credit for GPPA 470 and the GPGN 490 course with the same title."
astronomy,PHYA 200,Survey of Astronomy,"Introduction to astronomical concepts and phenomenology at the graduate level. Astrophysical measurement, major structures in the universe, properties of stars and galaxies, star formation and stellar processes, HR diagram, the Milky Way, galaxy formation and evolution, stellar and galactic clusters, cosmological distance scales, dark matter and energy, and cosmology. Includes order of magnitude problem-solving covering all fields of astrophysics."
astronomy,PHYA 299,Thesis Research in Astronomy,Directed research on dissertation topic in astronomy. May be taken for credit up to twenty-four times. (S/U grade only.)
astronomy,PHYA 296,Year Two Research in Astronomy,"Research studies under the direction of a faculty member in preparation for astronomy PhD program qualification. Two quarters of PHYA 296 are required for degree requirements, and must focus on a research project designed in conjunction with a faculty adviser on any suitable research topic. May be taken for credit up to three times. (S/U grade only.)"
astronomy,SIO 1,The Planets,Space exploration has revealed an astonishing diversity among the planets and moons in our solar system. The planets and their histories will be compared to gain insight and a new perspective on planet Earth.
astronomy,PHYS 160,Stellar Astrophysics,"Introduction to stellar astrophysics: observational properties of stars, solar physics, radiation and energy transport in stars, stellar spectroscopy, nuclear processes in stars, stellar structure and evolution, degenerate matter and compact stellar objects, supernovae and nucleosynthesis. PHYS 160, 161, 162, and 163 may be taken as a four-quarter sequence for students interested in pursuing graduate study in astrophysics or individually as topics of interest."
audio,MUS 5,Sound in Time,"An examination and exploration of the art and science of music making. Topics include acoustics, improvisation, composition, and electronic and popular forms. There will be required listening, reading, and creative assignments. No previous musical background required."
audio,MUS 170,Musical Acoustics,(Formerly MUS 160A.) An introduction to the acoustics of music with particular emphasis on contemporary digital techniques for understanding and manipulating sound.
audio,AUD 278,Special Topics in Audiology,"Current and developing topics in audiology introduced in group projects, presentations, and mock clinical scenarios. Improving grasp of audiology underpinnings, business practices, critiquing treatments, and emerging technologies."
audio,MUS 171,Computer Music I,"(Formerly MUS 160C.) A practical introduction to computer techniques for desktop audio editing, MIDI control, and real-time music algorithms using the MAX programming environment. Recommended preparation: completion of MUS 170."
audio,MUS 270A,Digital Audio Processing,"Digital techniques for analysis, synthesis, and processing of musical sounds. Sampling theory. Software synthesis techniques. Digital filter design. The short-time Fourier transform. Numerical accuracy considerations."
autonomous vehicles,MAE 148,Introduction to Autonomous Vehicles,"Fundamentals of autonomous vehicles. Working in small teams, students will develop 1/8-scale autonomous cars that must perform on a simulated city track. Topics include robotics system integration, computer vision, algorithms for navigation, on-vehicle vs. off-vehicle computation, computer learning systems such as neural networks, locomotion systems, vehicle steering, dead reckoning, odometry, sensor fusion, GPS autopilot limitations, wiring, and power distribution and management."
autonomous vehicles,ECE 148,Introduction to Autonomous Vehicles,"This course introduces students to the fundamentals of autonomous vehicles using an accelerated and engaging engineering curriculum leveraging the educational benefits of robotics “coopertition” (cooperative competition). Students work in small teams building scale cars utilizing best engineering practices. Skills to be learned include fast prototyping, project management, traditional programming, and computer vision using Robot Operating System (ROS) and artificial intelligence deep learning. Cross-listed with MAE 148. Students may not receive credit for ECE 148 and MAE 148. Program or materials fees may apply."
autonomous vehicles,MAE 248,Safety for Autonomous Systems,"This project-based course covers the mathematical foundations of dynamical system safety analysis and modern algorithmic approaches to decision-making in safety critical contexts. The focus is on safety analysis and safe learning for robots and other systems, paying special attention to uncertainty and the reality gap between mathematical models and the physical world. Class meetings combine whiteboard-style lecture, seminar-style discussion, and guest lectures from experts in the field."
autonomous vehicles,ECE 276A,Sensing and Estimation in Robotics,"This course covers the mathematical fundamentals of Bayesian filtering and their application to sensing and estimation in mobile robotics. Topics include maximum likelihood estimation (MLE), expectation maximization (EM), Gaussian and particle filters, simultaneous localization and mapping (SLAM), visual features and optical flow, and hidden Markov models (HMM). Recommended preparation: students should have knowledge equivalent to the following ECE courses: ECE 101 or ECE 171 and ECE 153 and ECE 174."
autonomous vehicles,MAE 204,Robotics,"This course covers topics in robotics, dynamics, kinematics, mechatronics, control, locomotion, and manipulation."
baseball,ECON 208,Games and Information,Further topics in game theory and the economics of information.
baseball,PSYC 139,The Social Psychology of Sport,"This course provides an introduction to the applications of social psychological principles and findings to sports. Topics include motivation, level of aspiration, competition, cooperation, social comparison, and optimal arousal. Additional topics may include the perspective of spectators, discussing motivation and perceptions of success, streaks, and such."
baseball,SIO 188,Biology of Fishes,"The comparative evolution, morphology, physiology, and ecology of fishes. Special emphasis on local, deep-sea, and pelagic forms in laboratory."
baseball,NO RESULTS,NO RESULTS,NO RESULTS
baseball,NO RESULTS,NO RESULTS,NO RESULTS
basket weaving,SE 255,Textile Composite Structures,"Introduction to textile structure and behavior, mechanics of yarns and fabrics as relevant to structural composites and geotechnical applications. Mechanics of textiles and fabric-based composites. Applications in fiber reinforced composites, coated textile structures, geotextiles."
basket weaving,SE 253A,Mechanics and Design of Composite Structures,"Graduate-level introduction to advanced composite materials and their applications. Fiber and matrix properties, 3D properties, stress-strain relationships, micromechanics, stiffness, ply-by-ply stress, classical laminated plate theory, hygrothermal/CTE behavior, and failure prediction. Lab activity will involve composite fabrication methods and design, analysis, build, and testing of composite structure. May be coscheduled with SE 142. Program or materials fees may apply."
basket weaving,LIGN 241,Fieldwork,Fieldwork continuing the research of the previous quarter; student-directed elicitations on topics of interest.
basket weaving,NO RESULTS,NO RESULTS,NO RESULTS
basket weaving,NO RESULTS,NO RESULTS,NO RESULTS
bayes theorem,POLI 272,Bayesian Methods,"Provides students a solid understanding of Bayesian inference and Markov chain Monte Carlo methods. Topics covered include Bayesian treatment of the linear model, Markov chain Monte Carlo methods, assessing model adequacy, and hierarchical models."
bayes theorem,MATH 280A,Probability Theory I,"This is the first course in a three-course sequence in probability theory. Topics covered in the sequence include the measure-theoretic foundations of probability theory, independence, the Law of Large Numbers, convergence in distribution, the Central Limit Theorem, conditional expectation, martingales, Markov processes, and Brownian motion. Recommended preparation: completion of real analysis equivalent to MATH 140A-B strongly recommended."
bayes theorem,MATH 280B,Probability Theory II,"This is the second course in a three-course sequence in probability theory. Topics covered in the sequence include the measure-theoretic foundations of probability theory, independence, the Law of Large Numbers, convergence in distribution, the Central Limit Theorem, conditional expectation, martingales, Markov processes, and Brownian motion."
bayes theorem,MATH 261A,Probabilistic Combinatorics and Algorithms,"Introduction to the probabilistic method. Combinatorial applications of the linearity of expectation, second moment method, Markov, Chebyschev, and Azuma inequalities, and the local limit lemma. Introduction to the theory of random graphs."
bayes theorem,MATH 264A,Combinatorics,"Topics from partially ordered sets, Mobius functions, simplicial complexes and shell ability. Enumeration, formal power series and formal languages, generating functions, partitions. Lagrange inversion, exponential structures, combinatorial species. Finite operator methods, q-analogues, Polya theory, Ramsey theory. Representation theory of the symmetric group, symmetric functions and operations with Schur functions."
biochemistry,BENG 230A,Biochemistry,"A graduate course in biochemistry especially tailored to the requirements and background of bioengineering graduate students. It will cover the important macro- and small molecules in cells that are the major constituents, or that function as signaling molecules or molecular machineries. The structures, pathways, interactions, methodologies, and molecular designs using recombinant DNA technology will be covered."
biochemistry,BIBC 102,Metabolic Biochemistry,"Energy-producing pathways–glycolysis, the TCA cycle, oxidative phosphorylation, photosynthesis, and fatty acid oxidation; and biosynthetic pathways–gluconeogenesis, glycogen synthesis, and fatty acid biosynthesis. Nitrogen metabolism, urea cycle, amino acid metabolism, nucleotide metabolism, and metabolism of macromolecules."
biochemistry,BIBC 100,Structural Biochemistry,"The structure and function of biomolecules. Includes protein conformation, dynamics, and function; enzymatic catalysis, enzyme kinetics, and allosteric regulation; lipids and membranes; sugars and polysaccharides; and nucleic acids."
biochemistry,CHEM 219A,Special Topics in Biochemistry,"This special-topics course is designed for first-year graduate students in biochemistry. Topics presented in recent years have included protein processing, the chemical modification of proteins, the biosynthesis and function of glycoproteins, lipid biochemistry and membrane structure, and bioenergetics."
biochemistry,CHEM 219B,Special Topics in Biochemistry,Various advanced topics in biochemistry. May be taken for credit up to three times as topics vary.
bioinformatics,CHEM 280,Applied Bioinformatics,"Publicly available databases and bioinformatics tools are now an indispensable component of biomedical research. This course offers an introductory survey of selected tools and databases; the underlying concepts, the software, and advice on using them. Practical exercises will be included."
