Code,Department,Title,Units,Description,Prerequisites,Level,URL
AAS 198,AAS,Directed Group Study in African American Studies,2 or 4,Directed group study on a topic or in a field not included in the regular curriculum by special arrangement with a faculty member. P/NP grades only. May be taken for credit two times.,"upper-division standing unless otherwise authorized. Completion of ninety units of undergraduate study, and completion and approval of the Special Studies form.",Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=AAS+198
AAS 199,AAS,Independent Study in African American Studies,2 or 4,Individual research and study on a particular subject related to African American studies by special arrangement with and under the direction of a faculty member. P/NP grades only. May be taken for credit two times.,upper-division standing. Enrollment via the faculty director of the African American Studies Minor only.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=AAS+199
AWP 3,AWP,Analytical Writing,4,"AWP 3 provides writers the opportunity to develop their critical thinking and writing abilities. At the end of AWP 3, students will produce a portfolio of work that will determine their readiness to enter the college writing programs. Replaced AWP 1. Students may take AWP 3, AWP 1, and ELWR 1 for a combined total of three times to earn a passing grade of C or better to satisfy the UC Entry Level Writing Requirement.",none,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=AWP+3
AWP 4A,AWP,Analytical Writing and Academic English A,4,AWP 4A is the first of two courses designed to offer students who need extra English language support the opportunity to develop their critical thinking and writing abilities over two quarters. Students who enroll in AWP 4A are required to enroll in AWP 4B in the subsequent quarter. Pass/Not Pass only. Replaced AWP 2A. Students may not receive credit for AWP 4A and AWP 2A or ELWR 2A. Students must earn a grade of Pass to move on to AWP 4B.,none,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=AWP+4A
AWP 4B,AWP,Analytical Writing and Academic English B,4,"AWP 4B is the second of two courses designed to offer students who need extra English language support the opportunity to develop their critical thinking and writing abilities over two quarters. At the end of AWP 4B, students will produce a portfolio of work that will determine their readiness to enter the college writing programs. Replaced AWP 2B. Students may not receive credit for AWP 4B and AWP 2B or ELWR 2B. Students must earn a grade of C or better in AWP 4B to satisfy the UC Entry Level Writing Requirement. If a grade of C or better is not earned, students are placed in AWP 3.",AWP 4A.,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=AWP+4B
AWP 10,AWP,Language and Learning in the American Academy,4,"This course will introduce critical thinking, reading, writing, speaking, and listening practices appropriate to college-level work. It will prepare students who may not be familiar with the learning expectations of American universities to fully join the academic conversation. Students may not receive credit for AWP 10 and LTWR 4.",none,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=AWP+10
AWP 100,AWP,Writing a Researched Argument,4,"This course offers students intensive instruction in the critical and rhetorical practices necessary to craft strong, research-informed arguments. Students also make short multi-modal presentations to practice delivering what they have written. Course topics will vary.",upper-division or graduate standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=AWP+100
AWP 101,AWP,Writing about Science,4,"Students write about scientific topics for non-scientific audiences, engaging with current debates in the sciences, analyzing the rhetorical strategies employed, and composing rhetorically strategic responses of their own. Students also make short multi-modal presentations to practice delivering what they have written. The intensive focus on writing and revising is especially useful for students who want to develop their writing.",upper-division or graduate standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=AWP+101
AWP 102,AWP,Writing for the Professions,4,"Students use writing to explore and to create a professional identity. Assignments range from articulating the questions and problems that students hope to explore in their professional lives to understanding the current conversations in their chosen professions, and to fashioning resumes, cover letters, and presentations that declare what they hope to contribute professionally. The intensive focus on writing and revising is especially useful for students who want to develop their writing.",upper-division or graduate standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=AWP+102
AWP 103,AWP,Writing about the Law,4,"Students write about legal topics for a general audience. Students will examine the rhetorical strategies employed by various stakeholders in controversial Supreme Court cases. They will then weigh in, composing their own strategic arguments. Students will also make short multi-modal presentations to practice delivering what they have written. The intensive focus on writing and revising is especially useful for students who want to develop their writing.",upper-division or graduate standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=AWP+103
ANTH 1,ANTH,Introduction to Culture,4,"An introduction to the anthropological approach to understanding human behavior, with an examination of data from a selection of societies and cultures.",none,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+1
ANTH 2,ANTH,Human Origins,4,"An introduction to human evolution from the perspective of physical anthropology, including evolutionary theory and the evolution of the primates, hominids, and modern humans. Emphasis is placed on evidence from fossil remains and behavioral studies of living primates.",none,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+2
ANTH 3,ANTH,Global Archaeology,4,"This course examines theories and methods used by archaeologists to investigate the origins and nature of human culture and its materiality. Case studies from the past and present, and digital heritage are explored. Recommended for many upper-division archaeology courses.",none,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+3
ANTH 4,ANTH,Words and Worlds: Introduction to the Anthropology of Language,4,"How does one’s language mutually interact with the social, cultural, and conceptual worlds one inhabits and mutually constructs with others? This course will introduce the comparative study of social life through the lens of the uniquely human capacity for language.",none,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+4
ANTH 5,ANTH,The Human Machine: The Skeleton Within,4,"Course will provide an introduction to bones as a tissue, to different bones in the body, and the ligaments and muscles surrounding major joints. You will learn how the skeleton, ligaments, and muscles support our mode of locomotion; the differences between male and female skeletons; and the differences across human populations. You’ll see how nutrition and disease can affect bones. Course examines functional areas within the body.",none,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+5
ANTH 10,ANTH,Climate Justice,4,"This course explores the concept of climate justice in terms of race, ethnicity, cultural heritage, gender, age, religion, language, disabilities, and socioeconomic status. Relates the findings of environmental science to issues of diversity, equity, and inclusion. Explores ethics in terms of the human dimensions of climate change.",none,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+10
ANTH 21,ANTH,Race and Racisms,4,"Why does racism still matter? How is racism experienced in the United States and across the globe? With insights from the biology of human variation, archaeology, colonial history, and sociocultural anthropology, we examine how notions of race and ethnicity structure contemporary societies.",none,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+21
ANTH 23,ANTH,"Debating Multiculturalism: Race, Ethnicity, and Class in American Societies",4,"This course focuses on the debate about multiculturalism in American society. It examines the interaction of race, ethnicity, and class, historically and comparatively, and considers the problem of citizenship in relation to the growing polarization of multiple social identities.",none,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+23
ANTH 24,ANTH,Mapping Capitalism,4,"This course explores the diverse ways that scholars across the humanities and social sciences have defined “capitalism” as their object of study. Much more than rational individuals involved in market relations, these approaches to capitalism explore such themes as sentiment, desire, meaning, deception, and habit.",none,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+24
ANTH 42,ANTH,Primates in a Human-Dominated World,4,"Will primates survive the anthropocene? We review major primate field studies for features of primate behavior and behavioral diversity and then consider the impact of habitat fragmentation, habitat loss, human wildlife conflict, and commensalism on the future of primates.",none,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+42
ANTH 43,ANTH,Introduction to Biology and Culture of Race,4,"This course examines conceptions of race from evolutionary and sociocultural perspectives. We will critically examine how patterns of current human genetic variation map onto conceptions of race. We will also focus on the history of the race concept and explore ways in which biomedical researchers and physicians use racial categories today. Finally, we will examine the social construction of race, and the experiences and consequences of racism on health in the United States and internationally.",none,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+43
ANTH 45,ANTH,Wisdom and Ecstasy,4,"How do the world’s religions grapple with the enduring mysteries of human existence, such as the origins of the cosmos, the meaning of life and death, or the healing of suffering? By delving into “wisdom,” we will explore how different religious communities realize—in thought and in action—the underlying order of their world; in focusing on “ecstasy,” we will attend to deeply transformative experiences of personal contact with the divine within diverse religious milieus.",none,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+45
ANTH 87,ANTH,First-year Student Seminar,1,"The First-year Student Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year student seminars are offered in all campus departments and undergraduate colleges. Topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students.",none,Lower Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+87
ANTH 101,ANTH,Foundations of Social Complexity,4,"Course examines archaeological evidence for three key “tipping points” in the human career: (1) the origins of modern human social behaviors, (2) the beginnings of agriculture and village life, and (3) the emergence of cities and states.",upper-division standing. (Required for all majors in anthropology.),Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+101
ANTH 102,ANTH,Humans Are Cultural Animals,4,"This class examines humans from a comparative perspective; if we ignore culture, what’s left? How do culture and biology interact? And how does biology inform cultural debates over race, sex, marriage, war, peace, etc.?",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+102
ANTH 103,ANTH,Sociocultural Anthropology,4,A systematic analysis of social anthropology and of the concepts and constructs required for cross-cultural and comparative study of human societies. Required for all majors in anthropology.,upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+103
ANTH 104,ANTH,Transforming the Global Environment,4,Introduction to the role of humans as modifiers and transformers of the physical environment. Emphasis on current changes and contemporary public issues.,upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+104
ANTH 105,ANTH,"Climate Change, Race, and Inequality",4,This course introduces students to the ways in which climate change exacerbates environmental racism and inequality. We will consider the ways that structural violence and discriminatory policies create environmental inequalities where marginalized communities take on more of the risk and burdens of climate change. We will address community organizing and social justice efforts to combat the systems of power that unevenly distribute the burdens of climate change to marginalized communities.,upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+105
ANTH 106,ANTH,Climate and Civilization,4,An introductory course that questions the whole collapse narrative while teaching students about the ways in which it has and hasn’t impacted humans.,upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+106
ANTH 107,ANTH,"Designing for Disasters, Emergencies, and Extreme Weather",4,"Examines the social, economic, environmental, and health impacts of anthropogenic climate change through engaged learning that integrates practice and theory.",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+107
ANTH 108,ANTH,"Indigenous Peoples, Extractive Development, and Climate Change",4,"Across the world, indigenous peoples’ lands and livelihoods are increasingly vulnerable to extractive development projects such as mines, gas wells, dams, logging, and monoculture agriculture, all of which increase the impacts on climate change. This class addresses the ways indigenous communities use cultural and political resources to negotiate environmental, market, and political forces. Can protecting indigenous ways of life provide alternatives for global climate change?",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+108
ANTH 109,ANTH,"Climate Change, Cultural Heritage, and Vulnerability",4,"Cultural heritage is a human right that is threatened by climate change. This course introduces students to the concept of heritage, how multiple historical and ancient processes influence social vulnerabilities, and what challenges are being faced in the context of changing climate. We will explore the formation and meanings of tangible and intangible heritage, its relation to traditional knowledge and the roles of knowledge over social vulnerability.",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+109
ANTH 110,ANTH,The Climate Change Seminar,4,"Explores climate change from the perspectives of biological, archaeological, sociocultural, and medical anthropology and global health. Students develop projects on key topics, such as food, health, sustainability, political economy, and the interaction of ecological and human processes across local, regional, and global scales. Examines social impacts and existential risks. Considers questions related to public policy, education, ethics, and interdisciplinary research collaboration.",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+110
ANTH 111,ANTH,Religion and Ecology: How Religion Matters in the Anthropocene,4,"This course will study the role that religion has played, and possibly will play, in the Anthropocene, with religion construed broadly and comparatively. Topics include use of religion and ritual to regulate the ecology, religious conceptions of the relation between humanity and nature, how religion shapes ethical stances toward the nonhuman, religious ideas of ownership or stewardship of nonhuman resources, and the role of apocalyptic narratives in shaping reaction to climate change.",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+111
ANTH 112,ANTH,Regenerative Science and Human Ecology,4,"How can we protect humanity and the planet from climate change? The course introduces methods and approaches needed to design and implement human-centered solutions to climate change. It examines the process of joining scientific knowledge with cultural knowledge to produce effective, regenerative, human-centered solutions. Explores ways to support social and ecological regeneration drawn from anthropology, culture-centered design, human ecology, and computational methods.",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+112
ANTH 120,ANTH,Climate Change in California: Problems and Solutions,4,"Examines climate problems in California, the impacts these have, and the search for solutions in coastal, desert, and urban communities. Topics include drought, extreme heat, wildfires, and sea level rise. Explores potential of university-community partnerships in developing solutions.",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+120
ANTH 128A,ANTH,Climate Action Scholars: Community Engagement and Research,6,"This course series will examine the historical, structural, and cultural roots of the climate crisis, its effects across diverse communities and ecologies, and the creative ways local people respond and build collective resilience. In this first quarter, students will engage in hands-on research, mapping, and documentation of climate change and associated social, environmental, and health impacts.",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+128A
ANTH 128B,ANTH,Climate Action Scholars: Capstone Project,6,"In the second course of this series, students will deepen and apply their knowledge of the diverse ways the climate crisis manifests and interacts with local conditions and histories of inequity and injustice. Students will continue to participate in collaborative learning and community-based research. In addition, they will develop and implement a capstone, “climate action project,” in collaboration with local community partners.",ANTH 128A or USP 128A.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+128B
ANTH 147,ANTH,Understanding the Human Social Order: Anthropology and the Long-Term,4,"This course explores the nature of human social systems over the long term. Returning to the original project of anthropology in the broadest sense, we examine the origins and reproduction of the state, social classes, multiethnic configurations, and political economies.",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+147
ANTH 192,ANTH,Senior Seminar in Anthropology,1,"The Senior Seminar Program is designed to allow senior undergraduates to meet with faculty members in a small group setting to explore an intellectual topic in anthropology (at the upper-division level). Senior Seminars may be offered in all campus departments. Topics will vary from quarter to quarter. Senior Seminars may be taken for credit up to four times, with a change in topic, and consent of the department. Enrollment is limited to twenty students, with preference given to seniors.",upper-division standing; department stamp and/or consent of instructor.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+192
ANTH 195,ANTH,Instructional Apprenticeship in Anthropology,4,"Course gives students experience in teaching of anthropology at the lower-division level. Students, under direction of instructor, lead discussion sections, attend lectures, review course readings, and meet regularly to prepare course materials and to evaluate examinations and papers. Course not counted toward minor or major. P/NP grades only.","upper-division standing and consent of instructor and department stamp. Received grade of A in course to be taught or equivalent. Student will need to apply for the Undergraduate Instructional Apprentice position through ASES, fulfill the Academic Senate Regulations, and receive the approval of the department, instructor, department chair, and Academic Senate.",Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+195
ANTH 196A,ANTH,Honors Studies in Anthropology,4,Seminar to explore student research interests and methodologies needed to complete Honors Thesis in ANTH 196B. Students will be admitted to the Honors Program by invitation of the department in the spring of their junior year. Completion of this course with a grade of at least B+ is a prerequisite to ANTH 196B.,department approval required.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+196A
ANTH 196B,ANTH,Honors Studies in Anthropology,4,Independent preparation of a senior thesis under the supervision of a faculty member. Students begin two-quarter sequence in fall quarter.,completion of ANTH 196A with grade of B+ or better.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+196B
ANTH 196C,ANTH,Honors Studies in Anthropology,4,"A weekly research seminar where students share, read, and discuss in-depth research findings resulting from ANTH 196A and 196B along with selected background literature used in each individual thesis. Students are also taught how to turn their theses into brief presentations for both specialized and broader audiences. Students will be offered opportunities to present their findings at campus events and outreach events during the quarter.",ANTH 196A-B.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+196C
ANTH 197,ANTH,Field Studies,4,"The Department of Anthropology has partnered with the Academic Internship Program (AIP) at UC San Diego to provide students with internship opportunities during their undergraduate studies. The AIP allows students to integrate academic theory and “real world” practice, engage in research that explores the relationship between the two, and gain hands-on experience in a professional setting. By participating, students receive ANTH 197 (P/NP) credit while fulfilling the requirements of the Academic Internship Program Office. In order to pursue this internship, you will need to have a faculty mentor from the anthropology department. Students will be responsible to follow the requirements outlined in the AIP syllabus, as well as plans established with the faculty mentor.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+197
ANTH 198,ANTH,Directed Group Study,2–4,"Directed group study on a topic or in a field not included in the regular departmental curriculum by special arrangement with a faculty member. Student may take this course twice for credit. Please note: Majors may only apply eight units of approved P/NP credit toward the major, and minors may only apply four units of P/NP credit toward the minor. Please contact the department for a list of courses you may take on a P/NP basis and apply toward the major or minor.",consent of instructor and upper-division standing with minimum GPA of 2.5 and completed and approved Special Studies form. Department approval required. (Formerly known as ANPR 198.),Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+198
ANTH 199,ANTH,Independent Study,4,"Independent study and research under the direction of a member of the faculty. Student may take this course twice for credit. Please note: majors may only apply eight units of approved P/NP credit toward the major, and minors may only apply four units of P/NP credit toward the minor. Please contact the department for a list of courses you may take on a P/NP basis and apply toward the major or minor.",consent of instructor and upper-division standing with minimum GPA of 2.5 and completed and approved Special Studies form. Department approval required. (Formerly known as ANPR 199.),Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANTH+199
ANAR 100,ANAR,Special Topics in Anthropological Archaeology,4,"Course will vary in title and content. When offered, the current description and title is found in the current Schedule of Classes and the Department of Anthropology website. May be taken for credit four times.",upper-division standing or consent of instructor.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+100
ANAR 104,ANAR,Introduction to Geographic Information Systems (GIS) for Anthropologists and Archaeologists,4,"This course is an introduction to geographic information systems (GIS) and spatial analysis for anthropologists and archaeologists. The course will provide students with background theory and basic skills in GIS through lectures and hands-on lab activities. Students will learn the basics of acquiring, storing, manipulating, analyzing, and visualizing spatial data for anthropological study.",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+104
ANAR 105,ANAR,The Archaeology of Literate Societies in Mesoamerica,4,"Mesoamerican societies were writing their histories for 2,000 years before the Spanish conquest. Employing interdisciplinary methods of archaeological, historical, and anthropological source-integration, this course will explore the principles and challenges of studying literate societies, and the relevance to their contemporary descendants.",none,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+105
ANAR 111,ANAR,Foundations of Archaeology,4,"As part of the broad discipline of anthropology, archaeology provides the long chronological record needed for investigating human and social evolution. The theories and methods used in this field are examined. (Archaeology core sequence course.) Recommended preparation: ANTH 3.",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+111
ANAR 113,ANAR,"Past, Present, and Future Perspectives on Natural Resources in Israel",4,"The class will provide a basic overview of Israel’s natural resources, including water, stone, minerals, oil, and gas. Case studies on ancient exploitation of these resources will be presented (e.g., copper extraction from ore in the Negev, water management in Biblical Israel, stone quarrying for the Temple Mount, etc.), followed by a discussion on the current role of these resources in the economy of modern Israel.",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+113
ANAR 114,ANAR,Environmental Hazards in Israel,4,"Israel, like California, is located on a complex tectonic boundary, which is responsible for a history of earthquakes, volcanism, and tsunamis. How great is the risk today and what will be the regional impact of a major earthquake? We will try to answer these questions by understanding the basic geology of Israel and reviewing the history of natural disasters as recorded by archaeology and historical documentation.",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+114
ANAR 115,ANAR,Coastal Geomorphology and Environmental Change—Perspectives from Israel and the South-Eastern Mediterranean,4,"Students will develop a broad understanding of the morphological features that are identified in coastal systems, and the short- and long-term processes that shape them through time. Students will become familiar with terminology, approaches, and methodologies used in coastal geomorphological research, which are relevant for today’s study of climate and environmental change, with a focus on coastal sedimentary environments and an emphasis on the coast of Israel from ancient times until today.",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+115
ANAR 116,ANAR,Sea Level Change—The Israel Case in World Perspective,4,"This course provides students with a broad understanding of the most current sea level change research that has been conducted around the globe. Students will be introduced to the general terminology used in this field, coastal shallow marine and deep-sea sea level indicators, and their degree of uncertainty, along with corresponding dating methods. An emphasis will be given to sea-level studies conducted in Israel and neighboring lands.",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+116
ANAR 117,ANAR,"Archaeological Field and Lab Class, Southern California",8,"The archaeological field and laboratory class will take place in the field in San Diego or adjacent counties. This course is a hands-on introduction to the research design of interdisciplinary archaeological projects and techniques of data collection, including survey, excavation, or laboratory analysis. May be taken for credit up to two times. Program or materials fees may apply.",upper-division standing or consent of instructor.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+117
ANAR 118,ANAR,Archaeology of the UC San Diego Campus,4,"Our campus houses some of the earliest human settlements in North America. This course reviews the archaeology, climate, and environment of the sites and outlines research aimed at understanding the lives of these early peoples.",upper-division standing or consent of instructor.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+118
ANAR 119S,ANAR,Archaeological Field and Lab Class,8,"The archaeological field and laboratory class will take place at Moquegua, Peru. It is an introduction to the research design of interdisciplinary projects, the technique of data collections, the methods of excavation and postexcavation lab work. Course materials fees may apply.",upper-division standing or consent of instructor.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+119S
ANAR 120,ANAR,Documenting Climate Change: Past and Present,4,"This course will help familiarize students with the types of methods that people use to document shifting climate in the past and present day, in addition to training on geospatial data sets.",upper-division standing or consent of instructor.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+120
ANAR 121,ANAR,Cyber-Archaeology and World Digital Cultural Heritage,4,"Concerns the latest developments in digital data capture, analyses, curation, and dissemination for cultural heritage. Introduction to geographic information systems (GIS), spatial analysis, and digital technologies applied to documentation and promotion of cultural heritage and tourism. Lectures and lab exercises.",upper-division standing or consent of instructor.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+121
ANAR 124,ANAR,Archaeology of Asia,4,"This course explores the archaeology of Asia from the first humans through the rise of state societies. Topics include the environmental setting, pioneer migrations, hunting and gathering societies, plant and animal domestication, and the development of metallurgy, agriculture, technology, trade, and warfare in early civilizations. We consider how ancient political, intellectual, and artistic achievements shape the archaeological heritage in present-day Asia.",upper-division standing.,Upper Division,https://cape.ucsd.edu/responses/Results.aspx?Name=&CourseNumber=ANAR+124
